"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "math" "read" "scie"
"55" 75600119 0 1 2 6 0 -0.3553 0.8232 0.1956 -0.687 0.7396 1.1713 0.7703 2.2679 1.5156 1.1793 1.8579 1.7426 -0.7562 -0.6576 455.705 496.81 453.267
"56" 75600144 0 1 2 6 0 -0.1042 0.2705 -0.9792 -0.2006 -0.5176 -0.4509 -0.7823 -0.0687 0.495 -0.8449 -0.5341 0.8553 -1.3684 -0.6576 473.674 392.352 419.084
"59" 75600024 1 2 2 5 0 -0.8016 0.2705 0.3709 -0.687 -0.0614 0.9683 -0.7823 -0.2019 -0.7888 0.0477 0.451 0.3656 1.314 -0.6576 505.155 526.694 521.449
"60" 75600115 0 1 0 5 0 0.8628 -1.272 -0.2661 -0.9295 0.3858 -0.3184 0.2907 0.49 0.6765 1.1793 -0.2417 0.4164 -0.7074 0.5029 527.965 586.106 551.858
"61" 75600117 0 3 2 6 0 2.6131 -0.6346 0.7871 0.4637 0.3858 0.6818 -0.7823 1.4205 1.0087 -0.1357 1.3586 1.5133 -0.9514 1.0346 592.426 646.897 602.036
"62" 75600215 0 1 2 6 0 1.7513 -1.272 -0.2661 -0.4342 -0.0321 0.6347 -0.7823 0.4651 1.075 1.1793 -0.6633 1.1183 -0.2023 1.0346 701.546 711.81 726.698
"63" 75600108 1 1 2 4 0 -0.1542 -0.2888 0.4352 0.8794 1.5024 3.22 -0.7823 1.2295 1.5156 1.1793 0.4757 0.6971 -0.5488 1.0346 462.625 445.562 468.759
"66" 75600128 1 1 0 6 0 -1.2014 -0.2888 -0.5707 -0.687 -1.1626 0.4503 -0.7823 0.3878 0.0213 -0.1357 0.4207 0.7053 -1.464 0.3622 716.745 632.654 716.806
"67" 75600080 1 3 0 5 1 0.1372 2.21 0.1244 0.4637 -0.0267 -0.9194 -0.7823 -0.7033 -0.1269 -0.1357 -0.5957 -1.3959 -0.9828 -1.1847 504.77 336.042 412.595
"68" 75600151 1 2 2 0 1 -2.7114 0.5206 0.1956 -1.8939 1.1651 0.9303 -0.7823 -0.2492 -0.6541 0.2646 0.5149 -2.344 -0.0037 -0.9167 509.798 397.924 374.898
"71" 75600014 0 1 0 5 0 -1.9715 0.7192 -0.4112 -0.9823 0.8236 2.7249 -0.7823 0.1547 0.2484 0.1806 0.3906 -0.2811 -1.1053 1.0346 506.238 468.554 373.42
"72" 75600102 1 2 2 4 0 -0.7215 0.2705 -0.5707 -1.8939 -0.0614 0.171 -0.7823 0.1976 -0.1932 -0.1357 0.5662 -0.6141 0.7628 -0.6576 445.512 394.368 412.915
"73" 75600036 1 3 3 0 1 -1.3532 3.0064 -2.345 -1.8939 2.1323 -1.335 -0.7823 -1.0407 -1.8598 -4.4106 1.1326 -2.7609 1.314 1.0346 408.78 199.024 247.801
"76" 75600154 0 1 0 6 0 -0.4556 -1.272 -0.9792 -0.687 -1.0974 -0.4173 -0.7823 -0.0637 0.0213 -0.6947 0.3967 0.9784 -0.5973 0.2127 496.903 374.017 419.785
"78" 75600007 0 2 2 1 0 0.5935 0.2705 -0.2661 0.176 -0.096 0.8817 -0.7823 -0.0947 0.0505 1.1793 -0.5178 -1.102 0.481 1.0346 485.143 498.813 511.117
"81" 75600010 1 2 2 5 0 -0.1506 0.2705 -0.2661 0.4637 -0.0614 0.9423 -0.7823 -0.014 0.4081 0.0477 0.3344 0.4947 0.2148 0.5029 427.202 478.078 418.092
"82" 75600128 0 1 0 6 0 1.0781 -0.2888 0.4352 1.8905 -1.9135 -1.6994 1.1928 0.8659 0.4254 -0.6122 0.7703 1.2786 -2.1007 -1.3914 601.538 674.188 662.623
"84" 75600147 1 1 0 3 0 -1.4526 0.8232 -0.2047 0.4637 -0.0614 1.4326 0.7703 -0.935 -1.8598 -2.2417 0.256 -0.8138 -0.3673 -0.6576 556.422 534.148 494.42
"86" 75600211 1 2 2 0 0 -0.1119 -0.4021 -0.2661 0.1097 1.1934 -0.9052 0.2308 -1.3841 -1.8598 0.0477 -1.3031 -2.7405 1.314 -0.6439 360.138 370.153 397.514
"87" 75600187 0 2 2 4 1 0.0995 0.8232 -0.0591 -0.0288 0.7251 -0.1724 0.7703 0.144 -0.0613 0.031 0.3501 -0.6403 1.314 -0.6576 517.232 374.969 367.723
"89" 75600144 1 1 2 4 0 0.0127 0.2705 -0.5707 -0.687 0.4392 -0.4415 -0.7823 -0.3272 -0.0971 -0.6853 0.2331 -0.3351 0.1597 -0.6576 573.887 515.403 533.909
"93" 75600131 0 1 2 5 0 0.638 1.0558 -0.2047 0.1097 -0.4684 -0.1858 -0.7823 1.0491 0.6561 1.1793 0.5035 0.915 -1.1481 0.6402 436.351 490.859 464.132
"94" 75600042 1 1 0 6 0 0.0797 0.2705 0.1956 -0.0845 -0.8386 -0.6693 0.7841 1.3006 1.1953 -0.1357 0.8354 0.995 -1.1481 1.0346 441.597 488.076 400.948
"96" 75600080 0 3 2 3 0 -1.4526 -1.272 -1.0881 0.8207 -1.2865 0.0716 0.7703 -0.345 -0.6541 -1.0118 0.3769 -0.6022 -0.8076 -0.6576 423.39 430.294 464.903
"97" 75600027 1 3 2 5 0 -1.1285 0.2705 -0.6888 -0.0845 0.3444 0.1619 1.1211 0.6406 0.3907 1.1793 0.3649 0.3864 -0.1206 -1.1847 609.687 466.681 484.521
"100" 75600219 1 1 0 6 0 1.0781 -1.272 -0.733 -1.2319 -1.0416 -0.0358 -0.7823 0.3005 0.6045 1.1793 -0.0867 0.8187 1.314 -0.6576 742.72 675.22 673.455
"101" 75600117 1 1 2 6 0 0.2641 0.2705 2.0054 -1.8939 2.3693 -0.6229 -0.7823 2.2439 1.1953 1.1793 2.2325 1.7234 1.314 1.0346 496.363 411.98 467.474
"103" 75600125 0 2 2 5 1 -0.6146 1.6524 0.7871 0.1097 -0.5536 -0.2602 1.4812 0.4164 -0.5354 0.0477 1.3756 0.1226 1.314 -1.5824 376.225 369.908 421.355
"105" 75600096 1 3 0 1 1 -0.9016 -0.6451 0.6314 1.4083 0.7872 1.4903 0.2907 0.39 -0.1932 1.1793 0.9745 -0.9935 0.7015 0.3622 494.373 487.301 434.133
"106" 75600154 1 2 2 4 0 -0.7983 0.2705 -0.5707 -1.4869 0.994 0.8801 -0.7823 -0.1648 -0.6541 -0.6122 0.868 -0.6671 1.314 0.2127 492.32 414.454 480.028
"113" 75600008 1 1 0 5 0 2.6131 -1.272 -2.345 -1.4242 1.1934 -0.5242 -0.7823 -0.5124 0.4765 -0.6853 -1.1041 0.0839 1.314 1.0346 525.889 580.237 590.181
"115" 75600128 1 1 0 6 0 -2.7114 2.21 -0.4631 -1.8939 0.023 0.6738 -0.7823 -0.4916 -0.3819 -0.1357 -0.1409 0.7134 1.314 0.2127 634.242 345.646 385.221
"116" 75600124 0 1 0 5 0 0.5915 -1.272 -0.9792 1.8905 -0.0614 0.171 -0.7823 0.3714 1.0087 1.1793 -0.2196 0.1952 1.314 1.0346 403.733 426.52 353.658
"117" 75600118 1 1 2 5 0 -1.7421 -0.7816 0.0113 -0.6133 0.7251 1.4326 0.2907 -0.1343 0.1738 -0.1357 0.293 0.0137 -1.1053 0.2127 561.022 519.079 472.869
"118" 75600171 0 1 0 6 0 -0.8176 1.6524 1.1811 -1.4869 2.3693 1.4326 -0.7823 0.6512 0.4432 1.1793 0.7343 0.7756 -0.0037 1.0346 473.041 442.605 468.134
"119" 75600012 1 1 0 6 0 -1.0322 -1.272 0.4352 -1.2792 0.471 0.0544 0.2907 0.1186 0.8371 0.4433 -0.6449 0.3402 1.314 1.0346 451.109 394.137 444.31
"120" 75600210 1 3 2 6 1 -1.0322 -1.272 2.0054 -1.8939 -3.1675 -0.357 2.4242 0.0654 -0.3819 -0.1357 0.267 0.9473 0.7628 -1.5847 532.328 445.686 460.172
"121" 75600059 1 2 0 5 0 -1.793 -1.272 -0.5229 -1.8939 -0.0614 2.7249 -0.7823 -0.3263 -1.8598 1.1793 0.284 -0.4592 1.314 -1.5824 393.816 291.35 384.294
"123" 75600146 1 1 0 3 1 -1.2627 -0.2888 -0.2047 -1.8939 -0.5787 -0.2159 0.1462 -0.6663 -0.0971 -1.6291 0.0854 -0.382 -1.3583 -1.0657 440.9 328.37 454.144
"127" 75600046 0 1 2 5 0 -1.9715 0.9672 -2.345 -1.4242 0.0018 1.1713 0.2907 -0.4803 -1.8107 1.1793 -0.0277 -0.3998 -1.0051 1.0346 415.764 486.532 536.569
"128" 75600153 0 2 0 6 0 -1.0322 2.1209 -0.6888 1.8905 -0.251 -0.399 1.7926 -0.0504 0.4765 1.1793 -0.4254 -0.1624 1.314 -2.0851 286.737 310.555 361.938
