"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "math" "read" "scie"
"38" 75200003 0 1 3 6 0 -0.6185 -0.7816 2.0054 1.8905 -0.8469 -1.395 -0.7823 0.3582 0.403 -0.6097 0.7689 0.6227 1.314 1.0346 457.875 447.585 443.45
"39" 75200028 1 1 0 5 0 -0.772 1.6524 -0.3247 -0.687 0.8496 2.7249 -0.7823 0.1711 -1.8427 -0.3487 1.0269 -1.5362 -0.6262 -0.6576 435.631 383.708 383.721
"40" 75200165 0 1 0 6 0 0.5935 0.2705 -0.6151 1.8905 -1.1486 0.9423 1.5172 0.2878 1.1527 0.7604 -0.4432 0.9924 -0.3971 -1.9687 629.689 581.408 585.198
"41" 75200065 0 1 0 4 0 -1.1538 0.5206 0.1956 1.8905 -1.1108 -0.3102 0.7294 -0.2881 -0.3238 -0.4396 -0.2734 -0.9043 -0.1605 0.3622 471.805 449.781 447.34
"42" 75200163 1 1 0 6 0 -1.3214 0.2705 2.0054 1.0671 2.3693 2.7249 0.8615 -2.3989 -1.8427 -1.8124 -2.0989 -0.2657 -1.2301 0.2127 523.752 453.622 479.731
"43" 75200090 0 1 0 5 0 0.2846 -1.272 -0.1401 1.8905 -1.449 -0.6765 1.5346 0.9283 1.6414 -0.1357 -0.1014 0.8439 -1.1481 -0.6576 615.976 606.564 590.356
"44" 75200105 1 1 0 4 1 -6e-04 -1.272 -1.7009 0.1097 -0.7906 0.9264 -0.7823 -1.5238 0.0528 -4.4106 -0.7302 -0.5451 1.314 -1.3914 520.657 457.305 595.734
"45" 75200148 0 3 2 6 0 0.0127 0.6091 -0.2661 -0.3799 -0.0614 0.3241 -0.7823 -1.0979 -1.8427 -1.2793 -0.4759 -0.5707 0.7015 -0.6576 477.233 442.678 435.184
"46" 75200130 0 3 3 0 0 1.2316 0.7192 0.1956 0.8207 0.7872 -0.5878 0.8233 -0.7935 0.4958 -0.4511 -1.1967 -2.561 -2.7106 -0.6576 337.923 412.364 386.259
"47" 75200155 1 1 0 5 0 0.2694 0.7192 -0.2661 1.8905 -0.0614 -0.3184 0.7703 1.2115 0.7639 -0.1357 1.3642 0.5934 0.7015 0.2127 515.209 429.707 482.51
"50" 75200022 0 1 0 6 0 0.9011 -1.272 0.1956 0.5949 -0.0607 -0.5878 -0.7823 2.418 1.6414 1.1793 1.3485 1.9656 1.314 -0.6576 775.895 789.044 793.81
"51" 75200086 0 1 0 6 0 1.0781 -0.8863 -0.5707 1.8905 -1.4741 -1.0013 -0.7823 0.5941 1.1527 -0.1357 -0.1327 0.7414 -0.4377 -1.5824 652.02 632.677 692.263
"52" 75200151 0 1 0 4 0 1.5998 -0.8863 -1.1146 0.4637 0.3139 -0.9855 0.6725 0.6534 0.2363 -0.6122 0.7215 0.4556 -0.9514 0.3622 635.785 697.786 645.133
"54" 75200167 1 1 0 6 0 0.235 -0.7816 0.7871 0.4637 1.5527 0.2243 -0.7823 3.1754 1.6414 1.1793 2.7762 2.0933 0.2148 1.0346 587.852 629.341 607.521
"55" 75200060 0 1 0 6 0 -1.4882 0.2705 -0.5229 1.4083 -0.5176 0.9782 -0.7823 -0.118 -1.8427 -0.4903 0.9062 0.388 -0.4377 -0.6576 409.801 478.853 382.679
"56" 75200158 0 1 0 4 0 -1.1538 0.8232 -0.2661 -0.3799 0.7251 -0.0553 0.1462 -1.1854 -0.7441 -1.5746 -0.3802 -1.284 -0.0037 -0.6576 541.448 371.861 451.831
"58" 75200150 1 1 0 6 0 0.1372 0.2705 0.1956 -0.687 -0.0614 -0.6659 -0.7823 0.2412 0.5278 1.1793 0.1198 0.4779 -0.2023 -0.6576 362.056 260.924 250.437
"59" 75200069 1 1 0 6 0 0.0127 0.2705 0.6314 0.4637 -0.4684 0.6818 -0.7823 0.5248 -0.0465 -0.1357 1.3393 1.076 0.7015 0.2127 560.781 597.729 530.675
"60" 75200081 1 1 0 6 0 -0.2704 1.0453 -0.2661 0.4637 -0.0614 -0.3184 -0.7823 0.5149 -0.8586 0.0477 2.1174 0.3955 -2.7106 -0.6576 379.77 397.711 431.122
"62" 75200058 1 3 3 6 0 0.638 0.7192 1.1811 1.0671 -0.0614 0.6401 -0.7823 -1.1089 0.4332 0.0477 -1.4725 0.0018 1.314 -0.6576 331.621 365.095 254.234
"63" 75200168 0 1 0 6 0 0.5935 -1.272 0.4352 1.8905 -1.9135 -0.6659 0.8615 0.6529 0.9334 0.2646 -0.0481 0.1352 1.314 -0.6576 555.947 568.518 502.113
"64" 75200097 1 1 0 4 0 -0.0176 -1.272 -1.1309 -0.3799 -0.0614 -0.4415 0.2907 -0.0826 -1.8427 -0.4396 0.8505 -0.3614 -0.4082 -0.6576 459.577 523.179 423.132
