"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "math" "read" "scie"
"65" 5600042 0 1 0 4 0 0.0127 0.2705 -0.5707 -0.9598 0.399 1.4326 -0.7823 -0.8746 -0.7097 1.1793 -0.8437 -0.8246 -0.9734 -0.9167 505.069 534.278 498.605
"68" 5600008 1 3 0 6 0 0.8418 0.2705 -0.5707 -0.4342 -0.0607 -0.9836 -0.7823 0.5625 0.3153 0.0477 0.1556 1.2313 -0.1605 -0.6576 674.806 650.371 727.17
"69" 5600014 1 3 0 4 1 -1.0096 2.5529 -1.5513 1.0671 -1.5166 -0.6824 0.2907 1.3924 0.6069 -0.4903 1.7645 0.9536 -1.1053 0.0116 375.258 294.438 352.044
"70" 5600294 0 1 0 6 0 1.7513 -0.7816 -0.9792 0.052 -0.096 -0.8575 0.1462 0.5401 0.6026 1.1793 0.0143 1.086 -0.5488 0.6364 599.708 630.576 620.83
"76" 5600222 0 1 0 5 0 -0.1042 0.2705 0.3709 -0.2459 -0.8109 1.4685 0.2907 -0.7629 -1.2782 -0.6122 -0.926 -0.3558 -0.5575 1.0346 448.957 495.966 538.448
"78" 5600052 0 1 1 6 0 0.8628 0.2705 -0.2047 -0.3799 -0.4292 0.3241 -0.7823 0.5613 1.1392 1.1793 -0.1845 0.2622 -0.3673 -0.6576 589.324 645.982 609.518
"79" 5600048 0 1 0 4 0 -2.7114 3.0064 0.2653 1.3423 -1.0974 -0.4509 -0.7823 0.1497 -0.5946 -1.3873 0.6952 -0.6485 1.314 1.0346 465.334 441.592 408.317
"80" 5600243 1 1 0 4 1 -1.352 1.6524 -1.1146 -1.8939 -0.4684 -0.2799 0.2907 0.0997 -0.4463 -0.6122 0.6905 -0.7533 -2.7106 -0.6576 428.929 489.503 437.602
"82" 5600032 0 1 0 6 0 0.7789 0.2705 -0.2661 0.4637 -0.5176 -0.0939 -0.7823 0.4615 -0.7708 1.1793 0.8215 1.1168 -1.3245 1.0346 647.462 659.004 694.222
"83" 5600012 0 1 1 6 0 0.2298 0.2705 -0.3907 0.5949 0.3444 0.3018 0.2907 1.7262 1.3903 1.1793 1.3324 1.4863 -0.2871 1.0346 608.674 592.372 610.236
