"id" "region" "type_city" "type_school" "fund1" "fund2" "fund3" "fund4" "info1" "info2" "info3" "requirement1" "requirement2" "valuation1" "valuation2" "exchange" "culture" "intercultural_experiences" "foreign_languages" "gender1" "gender2" "soc_eco_disadvantage" "num_grade" "computer_stud" "connection" "portable" "whiteboards" "projectors" "computer_teac" "teach_f1" "teach_p1" "teach_f2" "teach_p2" "teach_f3" "teach_p3" "teach_f4" "teach_p4" "teach_f5" "teach_p5" "class" "left" "language_lessons" "help1" "help2" "help3"
"24" 38000024 "Italy" "large city" 0 35 50 0 15 "agree" "disagree" "agree" "never" "never" "mandatory" "mandatory" 0 0 0 1 174 665 12 140 100 100 70 10 30 10 120 6 104 6 10 1 103 6 3 1 "21-25 students" 0 1 0 1 1
"25" 38000025 "Italy" "town" 0 80 13 1 6 "agree" "disagree" "disagree" "never" "never" "mandatory" "no" 1 1 1 1 178 1079 2 274 12 12 0 52 5 6 92 16 87 NA 0 0 NA 0 1 0 "21-25 students" 0 0 1 0 1
"26" 38000026 "Sardegna" "small town" 0 70 9 0 21 "agree" "disagree" "disagree" "always" "always" "school initiative" "mandatory" 1 0 0 1 170 250 1 76 55 55 25 25 26 15 62 NA 50 NA 0 NA 62 NA 2 NA "16-20 students" 1 0 0 0 0
"27" 38000027 "Sardegna" "small town" 0 70 5 NA 25 "disagree" "disagree" "strongly disagree" "never" "sometimes" "school initiative" "mandatory" 1 1 1 1 389 678 58 186 80 80 0 54 58 10 116 8 116 8 6 NA 112 8 3 NA "16-20 students" 1 1 0 1 0
"28" 38000028 "Bolzano" "town" 0 95 4 NA 1 "agree" "agree" "agree" "never" "never" "school initiative" "mandatory" 1 1 1 1 357 276 10 149 100 100 30 1 40 25 63 27 48 5 NA 10 NA 0 NA 0 "16-20 students" NA 1 0 0 0
"29" 38000029 "Italy" "city" 0 95 2 0 3 "strongly disagree" "disagree" "disagree" "never" "always" "mandatory" "no" 0 1 0 1 585 104 2 134 66 66 0 4 10 6 96 6 65 5 0 0 76 5 2 0 "16-20 students" 1 0 0 0 0
"30" 38000030 "Italy" "town" 0 59 0 16 25 "agree" "disagree" "agree" "sometimes" "always" "school initiative" "school initiative" 1 1 1 1 769 112 0 201 40 40 3 45 6 7 121 18 121 18 3 0 111 12 3 0 "21-25 students" 4 1 0 0 1
"31" 38000031 "Italy" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"32" 38000032 "Trento" "village" 1 89 11 0 0 "agree" "agree" "agree" "always" "never" "school initiative" "no" 1 1 0 1 394 159 1 108 70 60 30 0 40 30 78 4 70 NA NA NA 67 NA NA NA "21-25 students" 1 0 1 0 0
"33" 38000033 "Italy" "town" 0 50 35 0 15 "agree" "strongly agree" "disagree" "always" "always" "school initiative" "mandatory" 0 0 1 1 670 58 30 113 60 60 10 30 35 36 94 10 94 10 79 NA 50 NA 2 NA "more than 50 students" 1 0 0 0 1
"34" 38000034 "Toscana" "small town" 0 20 40 0 40 "disagree" "agree" "strongly disagree" "sometimes" "sometimes" "school initiative" "no" 1 1 0 1 334 328 2 139 80 50 30 34 5 40 52 8 52 0 52 8 6 1 3 1 "21-25 students" 0 1 0 0 1
"35" 38000036 "Italy" "town" 0 50 30 0 20 "strongly disagree" "agree" "disagree" "never" "always" "mandatory" "mandatory" 1 1 0 1 745 720 25 286 45 35 5 4 3 10 192 2 180 0 0 0 122 2 3 0 "21-25 students" 12 1 0 0 1
"36" 38000037 "Bolzano" "small town" 0 85 15 NA NA "agree" "agree" "agree" "sometimes" NA "mandatory" "mandatory" 1 1 1 1 273 332 6 120 138 107 12 2 32 46 58 19 56 18 1 1 1 NA NA 1 "21-25 students" 2 1 1 1 1
"37" 38000038 "Sardegna" "small town" 0 70 20 0 10 "disagree" "strongly agree" "disagree" "never" "always" "school initiative" "school initiative" 1 1 1 1 826 15 32 178 25 25 0 45 45 2 102 24 102 22 95 0 61 22 2 0 "16-20 students" 12 1 0 1 1
"38" 38000039 "Sardegna" "small town" 0 27 3 0 70 "disagree" "disagree" "disagree" "sometimes" "always" "no" "no" 0 0 1 1 156 256 NA 99 71 71 23 16 2 22 71 30 27 1 11 1 0 0 0 0 "16-20 students" 1 1 0 0 0
"39" 38000040 "Toscana" "town" 0 75 20 0 5 "agree" "agree" "agree" "sometimes" "sometimes" "mandatory" "no" 1 1 0 1 747 567 3 307 100 100 6 70 5 4 150 38 NA NA 110 38 NA NA NA NA "21-25 students" 3 1 1 1 1
