"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav";"teach_multicult"
75600003;0;0;6;0;1.0944;-0.3184;0.2907;0.5972;0.4765;-0.1357;0.2044;0.8427;-1.3345;-0.6576;225;135;270;642.435;646.605;614.558;28;11.4286;-0.1098;-1.4551;0.5515;0.9355;0.9042
75600003;1;3;6;0;-1.109;0.6738;1.5346;0.7325;1.1953;-0.1357;0.2408;0.621;-1.1481;1.0346;270;180;360;561.814;539.775;525.482;28;11.4286;-0.1098;-1.4551;0.5515;0.9355;0.9042
75600003;0;3;6;0;0.052;1.4326;-0.7823;0.9736;0.5835;1.1793;0.7153;0.85;-0.0348;1.0346;270;135;315;745.565;627.159;639.037;28;11.4286;-0.1098;-1.4551;0.5515;0.9355;0.9042
75600005;1;2;6;0;-0.3799;-0.4217;-0.7823;0.3052;1.5465;-0.1357;-0.8123;0.903;-1.1481;-0.6576;270;270;90;481.848;417.989;382.98;23;11.0741;-0.2488;0.1825;-0.6823;0.2266;-1.0542
75600005;0;3;6;0;-0.0288;-1.2605;1.5172;0.8019;0.6561;-0.7806;0.4396;0.1688;-2.7106;0.0116;0;0;0;428.137;281.327;363.424;23;11.0741;-0.2488;0.1825;-0.6823;0.2266;-1.0542
75600005;1;3;5;0;-0.0845;0.705;-0.7823;0.7566;0.0213;1.1793;1.5761;0.5243;-1.0051;1.0346;270;180;90;463.241;282.637;438.785;23;11.0741;-0.2488;0.1825;-0.6823;0.2266;-1.0542
75600005;1;3;2;0;-0.5311;-1.186;2.07;-1.1028;0.6403;-0.8773;-1.0582;-1.7601;0.1694;-0.6576;480;600;240;355.24;271.906;365.973;23;11.0741;-0.2488;0.1825;-0.6823;0.2266;-1.0542
75600007;0;2;5;0;-0.9295;0.7984;-0.7823;-0.6564;-1.8107;0.0477;-0.2699;-0.5764;0.1597;1.0346;225;225;90;547.846;561.124;585.221;23;14.7321;0.1031;-1.4551;0.6764;0.4883;-1.0542
75600007;1;3;5;0;-0.13;-0.7504;1.1625;-0.402;-1.1969;0.0477;-0.3375;-0.5166;-0.406;-0.6576;300;300;100;612.187;413.085;448.922;23;14.7321;0.1031;-1.4551;0.6764;0.4883;-1.0542
75600007;0;2;6;0;0.176;0.1039;-0.7823;-0.3857;-0.3763;-0.4396;-0.2272;-0.2184;-0.013;-1.3914;225;225;180;618.613;565.333;572.908;23;14.7321;0.1031;-1.4551;0.6764;0.4883;-1.0542
75600007;0;2;6;0;-0.3799;-0.9956;-0.7823;-0.7026;0.6886;-2.4403;-1.2396;-0.0296;0.6259;-1.1847;225;270;90;464.402;498.099;482.857;23;14.7321;0.1031;-1.4551;0.6764;0.4883;-1.0542
75600007;1;2;4;0;-1.8939;3.22;-0.7823;-0.11;-1.1969;-0.4396;0.7634;-0.9064;-0.3352;1.0346;225;270;225;468.16;434.821;508.665;23;14.7321;0.1031;-1.4551;0.6764;0.4883;-1.0542
75600007;0;2;1;1;-0.3009;0.1974;-0.7823;-0.8366;-0.7415;0.0477;-0.7074;-1.75;-0.3673;1.0346;225;270;180;464.243;409.641;419.819;23;14.7321;0.1031;-1.4551;0.6764;0.4883;-1.0542
