"school_id";"gender";"immigration";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"school_changes";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav";"teach_multicult"
27600002;0;1;0;5;0;-0.4342;-0.3184;-0.7823;0.5001;0.5642;-0.1357;0.1785;-0.091;0.4522;0.6402;1;180;135;180;488.039;451.168;449.8;18;16.4158;0.6221;0.1964;-0.1522;0.5642;-1.0542
27600002;1;1;0;2;0;-0.3009;0.9683;-0.7823;-0.8051;-1.8575;-0.6122;-0.3817;-1.6625;-1.6278;-0.6576;0;225;180;180;436.329;456.23;495.248;18;16.4158;0.6221;0.1964;-0.1522;0.5642;-1.0542
27600002;0;1;0;2;0;-1.8939;0.6818;-0.7823;0.0649;-0.6111;-0.1357;0.597;-1.2008;-0.1512;1.0346;0;135;135;180;484.117;509.691;529.279;18;16.4158;0.6221;0.1964;-0.1522;0.5642;-1.0542
27600002;1;1;2;6;0;0.3335;0.655;0.8615;-0.4428;-0.3112;-0.1357;0.0515;0.7248;-0.4795;-0.6576;0;180;135;90;446.958;383.895;378.904;18;16.4158;0.6221;0.1964;-0.1522;0.5642;-1.0542
27600002;0;1;0;6;0;-0.687;-0.3329;0.2907;0.3825;0.3486;-0.1357;0.3412;0.8908;-0.2023;0.6402;0;180;135;90;495.741;475.036;404.301;18;16.4158;0.6221;0.1964;-0.1522;0.5642;-1.0542
27600002;1;1;0;6;0;-1.0109;-0.3789;1.1928;-0.507;-0.1314;-0.1357;-0.6344;0.2038;-0.3584;1.0346;0;135;135;270;609.727;591.701;641.714;18;16.4158;0.6221;0.1964;-0.1522;0.5642;-1.0542
27600002;0;1;0;5;0;1.1422;0.1634;-0.7823;1.1139;-0.3916;1.1793;2.0962;0.4381;-0.5488;1.0346;0;180;135;90;512.301;496.288;397.017;18;16.4158;0.6221;0.1964;-0.1522;0.5642;-1.0542
27600002;1;2;0;2;0;-0.9295;0.3173;-0.7823;-0.9144;-0.3112;-0.1357;-0.9388;-0.9171;-0.9734;0.2127;0;180;135;90;544.671;513.012;476.601;18;16.4158;0.6221;0.1964;-0.1522;0.5642;-1.0542
27600002;1;1;0;2;0;-1.4869;-0.0613;-0.7823;0.7506;-0.2432;1.1793;0.8953;-0.6277;-1.555;-1.58;0;180;135;180;557.872;493.949;542.84;18;16.4158;0.6221;0.1964;-0.1522;0.5642;-1.0542
27600003;0;1;0;2;0;-0.3288;-0.0358;-0.7823;0.7059;-0.1506;1.1793;0.7257;-0.2926;-0.8998;-0.6576;0;270;180;270;436.571;462.674;397.542;28;15.3517;0.8006;0.2833;0.8153;-0.5173;0.9042
