"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"school_changes";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav"
5600180;0;2;6;0;0.1097;-0.7814;-0.7823;0.3307;0.171;-0.1357;0.5318;1.0614;-0.7453;-0.6576;2;250;200;500;536.513;510.203;547.097;23;11.1605;-0.0672;-1.4551;0.0753;-0.5418
5600180;1;0;6;0;1.4083;-0.0358;0.8233;1.2313;1.8415;1.1793;0.5481;0.3668;-0.5488;-1.3939;2;200;250;200;567.367;460.245;506.859;23;11.1605;-0.0672;-1.4551;0.0753;-0.5418
5600181;0;2;6;1;0.4637;-0.3184;0.7703;0.8754;0.2589;0.0477;1.1782;0.4144;0.4522;-2.0819;2;200;200;100;509.248;518.38;518.417;23;13.4788;-0.4562;0.43;0.6877;-0.3028
5600182;0;3;3;1;0.1097;0.6738;0.2907;-0.7911;-0.0102;-2.8259;0.2098;-1.1172;0.7628;-0.6576;2;250;250;150;411.284;459.703;432.523;18;9.3548;-1.4212;0.592;0.8092;0.4436
5600182;0;0;4;0;-0.6133;0.3349;-0.7823;0.0618;-0.4961;1.1793;0.1428;-0.8035;-0.3971;0.2127;2;200;200;100;591.761;494.109;568.575;18;9.3548;-1.4212;0.592;0.8092;0.4436
5600182;0;2;6;1;-0.2006;-0.8633;1.203;-0.8761;0.2589;-0.9649;-0.8873;-0.7487;-0.7857;-1.6735;2;250;250;50;370.745;269.722;341.861;18;9.3548;-1.4212;0.592;0.8092;0.4436
5600182;0;2;5;0;-1.8939;0.6818;-0.7823;-0.7816;-0.7097;0.0477;-0.6144;-0.5165;0.0838;1.0346;0;200;200;100;473.492;409.89;391.043;18;9.3548;-1.4212;0.592;0.8092;0.4436
5600184;0;2;6;0;-0.687;-0.4415;-0.7823;0.4828;-0.1552;1.1793;0.7734;0.8022;-1.174;-0.6576;2;200;200;200;377.444;349.744;323.339;13;6.2283;0.7889;0.5734;1.381;1.5144
5600184;0;2;4;0;-0.687;-0.3184;-0.7823;0.632;-0.1552;-0.5668;2.6216;0.6298;-2.7106;-1.5824;2;500;150;200;409.488;346.522;379.396;13;6.2283;0.7889;0.5734;1.381;1.5144
5600190;0;2;2;0;0.4637;0.3332;-0.7823;0.2661;0.2871;1.1793;-0.1082;-1.1638;-0.1206;1.0346;0;200;200;150;573.737;638.908;585.567;23;11.8864;-1.4212;-1.4551;-0.4881;0.1228
