"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav";"teach_multicult"
75200132;1;3;6;0;-1.8939;-0.6123;-0.7823;0.2496;1.3363;1.1793;-0.8327;-0.2191;1.314;1.0346;200;150;150;537.78;527.478;547.233;11.7333;-0.9432;0.8242;0.1797;1.7124;-0.9058
75200133;0;2;5;0;0.176;0.1614;1.1928;1.751;1.3363;1.1793;1.1729;0.8217;0.2727;-1.7671;180;120;180;315.859;277.145;308.194;11.9167;0.8339;0.902;-0.0956;0.6015;-0.2031
75200134;1;3;2;0;-0.687;-0.5552;0.1462;-0.3403;0.2923;0.0477;-0.7025;-1.591;1.314;1.0346;180;180;240;445.876;435.163;429.486;10.0811;-1.4212;-0.7828;1.0091;-0.0452;1.2836
75200138;0;2;6;0;-0.9295;-0.3184;-0.7823;2.3362;1.6414;1.1793;2.0615;1.4598;1.314;-1.5824;200;150;200;300.949;403.636;363.583;15.9277;0.7889;0.9861;0.8153;0.9355;1.2836
75200138;1;3;2;0;-0.7985;-3.2367;1.1625;-0.3925;-0.7441;-0.6122;-0.4432;-1.369;1.314;-0.6576;240;180;240;631.477;624.398;585.708;15.9277;0.7889;0.9861;0.8153;0.9355;1.2836
75200138;0;2;4;0;-0.687;-0.9694;0.8615;2.593;1.6414;1.1793;2.0237;0.7671;-1.1481;1.0346;200;200;150;415.859;453.995;346.429;15.9277;0.7889;0.9861;0.8153;0.9355;1.2836
75200138;0;3;5;0;0.5949;-0.672;0.8615;0.6776;-0.303;1.1793;0.8728;0.2232;-0.3673;-0.6576;220;165;220;487.47;636.011;572;15.9277;0.7889;0.9861;0.8153;0.9355;1.2836
75200138;0;2;5;0;0.4637;0.4951;-0.7823;6e-04;-0.455;0.0477;0.439;1.2166;1.314;1.0346;200;200;200;387.123;410.138;423.283;15.9277;0.7889;0.9861;0.8153;0.9355;1.2836
75200139;1;3;6;0;-0.687;-0.3184;-0.7823;0.3787;0.6472;1.1793;-0.1819;1.2016;1.314;-0.6576;195;195;195;633.225;554.232;623.01;10.5455;-0.949;0.9088;-0.0871;-0.7866;1.2836
75200139;1;0;6;0;0.4637;0.9683;-0.7823;-0.5424;-1.8427;-0.3487;-0.2829;-0.3706;-0.9734;0.2169;240;160;240;350.378;377.755;375.624;10.5455;-0.949;0.9088;-0.0871;-0.7866;1.2836
75200139;1;0;6;0;1.4083;-0.8223;0.2308;-0.2218;0.1926;1.1793;-1.2756;0.5664;0.2148;1.0346;300;300;200;555.84;599.2;620.718;10.5455;-0.949;0.9088;-0.0871;-0.7866;1.2836
75200139;1;2;6;0;0.1097;0.6818;-0.7823;0.0266;0.2363;0.2646;-0.1644;0.7523;-0.5864;-0.6576;900;900;900;443.841;502.255;470.106;10.5455;-0.949;0.9088;-0.0871;-0.7866;1.2836
75200139;0;0;5;0;-0.13;-0.3184;-0.7823;-0.2221;-1.2382;1.1793;0.0076;0.2056;-0.7366;-0.6576;210;210;210;486.582;546.231;451.113;10.5455;-0.949;0.9088;-0.0871;-0.7866;1.2836
75200140;0;3;6;0;0.5949;-0.8192;1.2618;-0.6218;-1.8427;-0.4903;0.1559;0.6212;-1.464;-1.1847;180;180;180;519.179;498.873;513.261;2.9063;-0.6884;0.902;1.0522;-1.2356;1.2836
75200140;1;3;6;0;-1.8939;2.7249;0.8233;0.715;0.7334;0.0477;0.4485;1.1997;1.314;1.0346;180;180;180;541.114;427.015;564.87;2.9063;-0.6884;0.902;1.0522;-1.2356;1.2836
75200140;0;0;6;0;-1.8939;-3.2367;-0.7823;0.7418;-0.4983;1.1793;1.5943;0.785;1.314;1.0346;180;180;120;431.624;442.531;476.094;2.9063;-0.6884;0.902;1.0522;-1.2356;1.2836
75200140;1;3;5;0;1.8905;0.1554;1.5082;0.5304;1.3363;1.1793;-0.1742;0.7957;1.314;1.0346;180;180;180;690.821;576.042;622.221;2.9063;-0.6884;0.902;1.0522;-1.2356;1.2836
75200140;0;0;5;0;0.8207;-0.8186;0.1462;-0.3629;0.0528;-0.8243;-0.2494;0.308;0.7015;-1.3914;180;180;180;530.994;628.524;555.449;2.9063;-0.6884;0.902;1.0522;-1.2356;1.2836
