"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav"
4000130;0;0;5;0;-0.7985;0.9517;0.2907;0.6431;1.8303;1.1793;-0.0959;0.1269;-0.6385;1.0346;150;150;100;437.906;415.768;413.727;23;1.6863;0.2428;1.3885;-0.4697
4000130;0;0;5;0;0.8794;-0.1858;0.2907;0.7515;0.6411;1.1793;0.3624;0.9482;-2.7106;0.6364;150;150;100;682.945;675.571;646.87;23;1.6863;0.2428;1.3885;-0.4697
4000130;0;2;6;0;-0.3009;0.6738;-0.7823;-0.7425;-1.8538;1.1793;-0.5752;0.6073;-1.3684;1.0346;200;200;150;448.332;406.411;263.258;23;1.6863;0.2428;1.3885;-0.4697
4000130;0;0;5;0;-0.687;0.6818;-0.7823;0.0564;-0.2006;-0.1357;0.3465;-0.3226;-0.6176;-0.6576;150;150;100;521.849;603.24;580.017;23;1.6863;0.2428;1.3885;-0.4697
4000130;0;2;4;0;0.052;0.3241;-0.7823;0.5977;0.8775;1.1793;0.0324;0.3188;-0.7366;1.0346;150;150;100;466.399;482.501;417.003;23;1.6863;0.2428;1.3885;-0.4697
4000130;0;0;4;0;-0.13;0.6818;0.8615;-0.6691;-0.7725;-0.6122;-0.3204;-1.0304;-1.3245;1.0346;150;150;150;499.981;500.467;454.424;23;1.6863;0.2428;1.3885;-0.4697
4000130;1;2;4;0;-0.3799;0.4846;-0.7823;0.0489;0.6411;-0.4903;-0.2111;-0.775;-0.7857;0.6364;150;150;100;505.655;540.54;508.45;23;1.6863;0.2428;1.3885;-0.4697
4000130;0;2;6;0;-0.687;-0.3184;-0.7823;-0.9235;-0.5158;-0.6947;-0.9259;0.4751;-0.7074;-0.6576;150;150;150;451.136;460.162;489.647;23;1.6863;0.2428;1.3885;-0.4697
4000130;1;2;1;0;0.8207;0.6818;1.2618;-0.6157;-1.8538;0.1806;-0.2461;-2.0056;-1.1965;-1.0691;100;150;100;419.87;470.295;464.824;23;1.6863;0.2428;1.3885;-0.4697
4000132;1;3;5;0;0.2201;-0.8134;-0.7823;0.3295;-0.2006;0.1806;0.7273;-0.195;0.3485;-0.9167;400;100;500;382.884;333.702;373.756;23;-0.4873;-1.8617;-0.2686;0.6101
4000133;0;2;6;0;0.1097;2.7249;1.1625;0.2572;0.9421;1.1793;-0.0057;0.0379;1.314;-1.5824;100;100;25;381.527;313.802;315.541;23;-0.3091;-0.7613;1.2033;0.6015
4000133;1;0;3;1;0.1097;1.4903;-0.7823;-0.712;-0.4132;-0.6122;-0.1951;-0.9777;1.314;-0.6576;150;150;200;446.195;471.735;437.924;23;-0.3091;-0.7613;1.2033;0.6015
4000134;0;2;5;0;-0.687;0.3241;-0.7823;0.0528;0.8444;-0.4903;-0.5818;0.244;-0.5197;1.0346;150;150;300;560.746;570.031;549.671;23;1.2478;-0.2792;-0.335;-0.8267
4000134;1;0;4;0;0.4637;0.6818;1.8633;-0.2703;0.1121;-0.1357;-0.2864;-0.8306;-0.5488;0.6364;200;150;450;517.993;499.224;479.098;23;1.2478;-0.2792;-0.335;-0.8267
4000134;0;0;5;1;0.4637;-0.3184;0.7841;-0.0762;0.288;1.1793;-0.6314;-0.1776;0.2148;1.0346;200;200;50;436.782;442.047;445.371;23;1.2478;-0.2792;-0.335;-0.8267
4000134;1;0;3;0;-0.9295;1.4685;-0.7823;0.2478;0.6411;-1.0118;0.2245;-0.5929;-0.2871;0.6364;165;165;165;577.71;606.976;603.468;23;1.2478;-0.2792;-0.335;-0.8267
4000134;1;3;3;0;-1.2792;-1.3152;1.2618;-0.8036;-0.7725;-0.1357;-0.71;-1.1356;-0.3882;-0.6576;250;150;300;520.789;515.83;547.003;23;1.2478;-0.2792;-0.335;-0.8267
4000134;1;0;5;0;1.3423;1.4685;-0.7823;-1.0156;0.1121;-0.9649;-0.9587;-0.496;-1.0051;-2.4468;225;135;180;604.546;558.364;581.052;23;1.2478;-0.2792;-0.335;-0.8267
4000134;0;3;6;0;-0.3799;0.6818;-0.7823;0.0555;1.1335;-0.1357;-0.7841;0.8322;0.0703;1.0346;200;150;450;535.401;567.293;559.149;23;1.2478;-0.2792;-0.335;-0.8267
4000134;0;2;3;0;0.1097;-0.0647;0.2907;-0.371;0.1497;-0.4903;-0.5635;-0.4914;0.6259;0.5029;200;150;500;617.192;625.113;568.663;23;1.2478;-0.2792;-0.335;-0.8267
4000135;1;3;5;1;-0.687;-0.132;-0.7823;0.1887;0.1121;-0.1357;0.6056;0.2577;-2.7106;-1.5847;200;200;100;355.907;372.119;350.714;23;0.4698;-0.3872;-0.6033;0.2266
4000135;1;3;0;1;-1.8939;0.4152;2.07;-3.1591;-1.2648;-4.4106;-2.5688;-3.5379;-2.7106;-2.4468;150;150;350;462.985;517.858;574.681;23;0.4698;-0.3872;-0.6033;0.2266
