"school_id";"gender";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"school_changes";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav";"teach_multicult"
27600210;0;2;2;0;0.8207;1.4903;-0.7823;-0.8089;-0.7953;0.1806;-0.5543;-1.7988;-2.1621;-0.6576;2;270;180;135;314.365;358.704;343.464;23;7.9487;1.9733;0.9995;0.1795;0.4883;-1.0542
27600210;1;3;4;1;-0.9295;-1.2605;1.1625;-0.3735;0.5642;-0.6122;-0.6675;-1.3863;1.314;-1.5824;2;90;45;135;462.253;342.95;404.067;23;7.9487;1.9733;0.9995;0.1795;0.4883;-1.0542
27600211;1;2;4;0;0.8794;0.6818;2.3772;-0.6256;-0.568;-0.6122;-0.2511;-0.7291;1.314;1.0346;0;180;180;90;358.723;402.797;381.13;23;15.3333;0.1;0.3595;0.1795;0.5642;-1.0542
27600211;1;2;6;0;-0.4342;0.3241;0.8233;0.535;-0.6111;1.1793;1.1949;1.0092;-0.7882;-1.5824;2;180;135;225;601.337;673.856;615.241;23;15.3333;0.1;0.3595;0.1795;0.5642;-1.0542
27600211;1;0;4;0;-1.2792;-0.0417;0.2907;-0.6227;-1.8575;0.1806;-0.254;-0.1352;1.314;0.3622;0;225;180;90;540.098;550.777;531.402;23;15.3333;0.1;0.3595;0.1795;0.5642;-1.0542
27600211;1;0;5;0;-1.1597;1.4903;0.2907;0.3875;0.3486;1.1793;0.1483;-0.1364;-0.9734;-1.3939;1;180;180;225;553.769;504.823;559.842;23;15.3333;0.1;0.3595;0.1795;0.5642;-1.0542
27600211;1;2;6;0;-0.2006;-0.6913;-0.7823;0.6109;1.0047;1.1793;0.2585;0.1043;-1.1481;-0.6576;2;800;80;80;396.675;331.295;384.508;23;15.3333;0.1;0.3595;0.1795;0.5642;-1.0542
27600211;1;2;5;0;-0.687;0.4766;-0.7823;-0.5911;-0.3112;1.1793;-0.6026;-0.6277;1.314;-1.5824;2;360;360;180;402.671;251.715;262.567;23;15.3333;0.1;0.3595;0.1795;0.5642;-1.0542
27600212;1;0;4;0;-0.6133;-0.2159;-0.7823;-0.5427;-0.6111;-0.6853;-0.5608;-0.9309;1.314;0.6364;0;600;480;720;435.885;379.276;377.005;23;10.9091;0.4292;0.5116;0.4215;0.6101;0.9042
27600213;1;2;6;0;0.3335;-0.4464;-0.7823;-0.1386;-0.0138;-0.4903;-0.4146;0.3472;-0.1298;0.2127;1;180;180;360;700.306;619.326;686.678;28;13.2135;0.1;0.6676;-0.9505;0.2266;0.9042
27600214;1;0;6;0;-0.687;0.6818;-0.7823;-0.0832;-0.1628;0.1806;-0.314;0.9518;0.7628;0.2127;0;135;135;270;579.019;612.574;617.429;28;15.75;0.0686;0.592;0.0177;1.1035;-1.5648
27600214;0;0;6;0;-0.687;0.3332;-0.7823;0.3497;0.9187;1.1793;-0.5518;-0.4674;-0.2327;1.0346;0;135;135;270;533.065;582.79;516.123;28;15.75;0.0686;0.592;0.0177;1.1035;-1.5648
27600214;0;0;6;0;-0.687;0.9423;-0.7823;-0.48;0.2095;-0.6122;-0.7958;0.6627;-0.0037;0.2127;0;135;135;360;599.526;651.606;616.846;28;15.75;0.0686;0.592;0.0177;1.1035;-1.5648
27600214;0;0;6;0;-0.687;0.9423;-0.7823;1.1088;1.8366;1.1793;0.1166;1.3907;0.4394;0.6364;0;135;135;90;701.914;687.433;623.463;28;15.75;0.0686;0.592;0.0177;1.1035;-1.5648
27600215;1;0;4;0;-0.9823;0.9683;-0.7823;0.2236;-0.2432;1.1793;0.1281;-0.0066;1.314;1.0346;0;225;225;225;538.244;434.534;428.838;23;14.9811;1.2478;-0.3265;0.8153;0.2266;-0.061
27600215;0;2;2;0;-1.8939;0.6818;-0.7823;-0.2052;-0.5844;1.1793;-0.0228;-1.377;0.7015;1.0346;0;180;180;90;499.985;490.277;491.202;23;14.9811;1.2478;-0.3265;0.8153;0.2266;-0.061
27600215;1;0;4;1;-0.9823;2.7249;-0.7823;0.169;0.1765;1.1793;-0.0132;-0.7055;1.314;1.0346;0;180;180;360;599.577;530.181;614.742;23;14.9811;1.2478;-0.3265;0.8153;0.2266;-0.061
27600215;0;0;3;0;0.0208;-0.355;0.2907;0.078;-0.5134;1.1793;0.0858;-0.2324;-1.2301;1.0346;0;180;180;270;556.008;550.935;530.931;23;14.9811;1.2478;-0.3265;0.8153;0.2266;-0.061
27600222;0;2;6;0;0.052;-0.2098;0.7703;-0.7369;-0.1628;-0.6853;-0.5757;-1.5845;-0.2441;1.0346;2;225;225;180;476.677;504.883;432.997;28;17.9143;0.2956;0.592;0.976;-0.0452;0.9042
27600224;1;2;2;0;-1.8939;0.9517;1.203;-0.4327;0.533;-1.6692;-0.3373;-1.5202;1.314;-0.6439;0;180;180;180;303.371;314.766;340.762;53;16.75;1.2048;0.028;0.2408;0.9028;0.9042
27600224;0;3;6;1;0.4637;-1.1351;0.8233;-0.3382;0.4162;1.1793;-1.0555;-0.2674;-0.2023;0.2127;0;180;180;270;427.462;455.959;444.553;53;16.75;1.2048;0.028;0.2408;0.9028;0.9042
27600224;1;2;2;0;-1.8939;-1.186;0.2907;-0.372;-0.3916;0.0477;-0.5194;-1.4167;-0.7562;1.0346;0;225;180;180;477.211;456.038;450.149;53;16.75;1.2048;0.028;0.2408;0.9028;0.9042
27600224;1;3;3;0;-0.2006;2.7249;-0.7823;-0.7801;0.387;1.1793;-1.6947;-1.0774;-0.7366;-1.8649;1;180;180;180;301.013;365.956;373.377;53;16.75;1.2048;0.028;0.2408;0.9028;0.9042
27600224;0;2;2;0;-0.9823;0.0348;3.8591;-0.5983;0.3486;0.0477;-1.0287;-0.9571;-0.7769;1.0346;0;180;180;270;368.528;329.828;369.972;53;16.75;1.2048;0.028;0.2408;0.9028;0.9042
27600224;0;2;5;0;1.3423;0.3299;0.7703;-0.4007;0.2581;0.0477;-0.4495;0.3015;1.314;1.0346;0;180;180;225;400.601;535.687;504.828;53;16.75;1.2048;0.028;0.2408;0.9028;0.9042
27600225;0;0;2;1;1.4083;-0.1939;0.2907;-0.5847;-0.1314;-0.6853;-0.468;-0.7776;1.314;-2.4468;0;135;180;90;424.108;522.624;447.756;28;20.6429;-0.6884;-1.4551;1.0088;0.8378;-0.1764
27600225;1;2;6;1;0.3335;0.4749;-0.7823;-0.3222;-0.5572;-0.1357;-0.0884;-0.1928;-2.0248;-0.6576;0;135;450;90;467.445;432.811;418.101;28;20.6429;-0.6884;-1.4551;1.0088;0.8378;-0.1764
27600225;0;2;4;1;-1.8939;1.4903;-0.7823;0.6657;-0.1506;0.6763;1.6369;-0.3565;-0.6262;1.0346;2;135;180;90;346.62;407.642;299.344;28;20.6429;-0.6884;-1.4551;1.0088;0.8378;-0.1764
