"school_id";"gender";"immigration";"language";"hisced";"grade_rep";"fear_failure";"belonging";"bullied";"home_poss";"cult_poss";"edu_resources";"family_wealth";"ESCS_status";"teacher_support";"emo_sup";"learn_time_math";"learn_time_read";"learn_time_scie";"math";"read";"scie";"class_size";"stud_teach_ratio";"short_edu_mat";"short_edu_staff";"stu_behav";"teach_behav"
44200001;0;3;2;1;1;-0.729;-0.2461;0.2907;-0.2954;-0.3985;-0.2116;-0.1045;-1.9785;-1.6031;-0.6576;200;200;100;363.377;310.08;324.113;23;9.2577;-1.0091;0.044;-1.1246;0.2266
44200001;0;1;0;6;0;0.4637;-0.5957;-0.7823;0.6847;0.654;-0.2116;0.2432;1.1472;0.7015;-0.6576;200;200;100;594.823;637.406;587.846;23;9.2577;-1.0091;0.044;-1.1246;0.2266
44200001;0;1;0;6;0;-0.687;0.0427;-0.7823;1.6444;1.4029;1.1793;0.5652;1.167;1.314;1.0346;200;200;200;501.729;510.992;595.528;23;9.2577;-1.0091;0.044;-1.1246;0.2266
44200001;0;1;0;6;0;0.052;-0.3486;1.4721;0.9071;0.9816;1.1793;0.0425;1.3709;-1.8358;1.0346;200;150;200;620.017;709.537;675.795;23;9.2577;-1.0091;0.044;-1.1246;0.2266
44200001;1;2;2;2;1;-1.109;0.4951;0.2907;-0.3792;-1.1503;-0.6853;0.1002;-1.0709;-0.0348;-1.0657;200;250;100;433.504;407.427;485.186;23;9.2577;-1.0091;0.044;-1.1246;0.2266
44200001;0;1;0;6;0;-0.3799;0.6738;-0.7823;1.4469;0.9816;1.1793;0.864;1.5338;-1.8358;0.2169;200;100;200;615.171;626.386;672.669;23;9.2577;-1.0091;0.044;-1.1246;0.2266
44200001;1;1;0;6;0;-0.7592;1.4326;-0.7823;1.5959;1.5766;-0.1357;0.7409;1.5969;1.314;1.0346;200;150;100;601.964;641.457;606.878;23;9.2577;-1.0091;0.044;-1.1246;0.2266
44200001;0;1;0;6;0;1.8905;0.6818;-0.7823;1.7512;0.9816;1.1793;1.0331;1.6626;-0.5488;1.0346;200;200;200;541.759;547.053;579.798;23;9.2577;-1.0091;0.044;-1.1246;0.2266
44200001;1;1;0;6;0;-0.3799;2.7249;-0.7823;0.2485;-0.0307;0.6763;0.2885;0.2821;-1.1481;1.0346;260;195;195;459.598;516.223;516.885;23;9.2577;-1.0091;0.044;-1.1246;0.2266
44200001;1;1;0;6;0;-0.5722;-0.4703;0.2907;-0.3468;-1.848;-1.6618;0.6391;0.5922;-1.2907;-1.7671;180;135;180;579.715;480.454;499.913;23;9.2577;-1.0091;0.044;-1.1246;0.2266
