"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie"
"28" 75200085 0 3 853 6 0 2.6131 -1.272 1.2643 0.6556 0.7396 0.6818 -0.7823 1.3638 2.0538 0.7604 1.0094 -1.007 -1.415 1.0346 130 130 325 563.975 581.696 472.254
"29" 75200228 0 3 494 4 1 0.6025 0.2705 -2.345 0.4637 2.3693 0.6344 0.2907 -0.0227 -0.0465 -0.6853 0.4582 -0.7215 -1.6637 1.0346 130 130 195 365.922 369.956 323.466
"30" 75200013 0 1 494 6 0 1.2316 0.2705 0.1956 -0.687 -0.0614 -0.7362 NA 1.1428 1.1527 1.1793 0.699 1.2722 -1.1481 -1.3939 180 180 120 555.782 548.789 519.64
"31" 75200013 0 1 494 6 0 -1.0555 -1.272 0.1956 -1.1597 -0.1433 2.7249 -0.7823 1.0478 0.3269 1.1793 1.2121 1.1929 0.7015 -0.6439 180 180 240 604.172 670.681 593.763
"32" 75200125 0 1 494 4 0 -0.6146 1.2958 -2.345 NA 0.3444 -1.866 -0.7823 0.5634 0.7679 1.1793 -0.1723 -0.5439 -0.2023 1.0346 200 200 100 525.345 563.166 488.293
"33" 75200220 0 1 494 6 0 -0.8812 0.2705 -1.4383 -1.8939 -0.5176 0.9423 -0.7823 0.1875 0.5278 0.0477 0.4564 1.2288 -1.1481 0.2169 270 270 270 294.555 369.429 323.866
"34" 75200028 0 1 494 5 0 0.9271 0.2705 0.1956 -0.13 -0.0614 -0.5878 -0.7823 0.1058 0.403 1.1793 -0.216 0.2754 0.6259 -0.6576 180 180 180 559.111 589.552 552.458
"35" 75200009 0 1 494 5 0 -0.1542 0.7192 -0.5707 -0.13 -0.5536 -0.3184 -0.7823 -0.5385 -0.4983 0.0477 -0.3672 0.0027 1.314 -0.6576 240 180 180 593.932 596.459 573.551
"36" 75200026 1 1 494 6 0 -0.2704 0.9672 2.0054 -0.4342 -0.0614 0.9517 -0.7823 0.2991 0.1926 -0.7806 0.623 1.1052 -0.2023 0.5029 150 150 150 551.136 570.178 538.212
"37" 75200141 1 1 494 6 0 0.1372 0.2705 -0.9792 -0.687 -0.0614 -0.3184 -0.7823 1.3971 1.1527 1.1793 1.2046 1.7531 -0.2023 -0.6576 240 180 180 496.52 453.133 468.752
"38" 75200003 0 1 853 6 0 -0.6185 -0.7816 2.0054 1.8905 -0.8469 -1.395 -0.7823 0.3582 0.403 -0.6097 0.7689 0.6227 1.314 1.0346 150 200 250 457.875 447.585 443.45
"39" 75200028 1 1 494 5 0 -0.772 1.6524 -0.3247 -0.687 0.8496 2.7249 -0.7823 0.1711 -1.8427 -0.3487 1.0269 -1.5362 -0.6262 -0.6576 195 260 260 435.631 383.708 383.721
"40" 75200165 0 1 494 6 0 0.5935 0.2705 -0.6151 1.8905 -1.1486 0.9423 1.5172 0.2878 1.1527 0.7604 -0.4432 0.9924 -0.3971 -1.9687 200 150 200 629.689 581.408 585.198
"41" 75200065 0 1 494 4 0 -1.1538 0.5206 0.1956 1.8905 -1.1108 -0.3102 0.7294 -0.2881 -0.3238 -0.4396 -0.2734 -0.9043 -0.1605 0.3622 180 120 180 471.805 449.781 447.34
"42" 75200163 1 1 494 6 0 -1.3214 0.2705 2.0054 1.0671 2.3693 2.7249 0.8615 -2.3989 -1.8427 -1.8124 -2.0989 -0.2657 -1.2301 0.2127 165 165 220 523.752 453.622 479.731
"43" 75200090 0 1 494 5 0 0.2846 -1.272 -0.1401 1.8905 -1.449 -0.6765 1.5346 0.9283 1.6414 -0.1357 -0.1014 0.8439 -1.1481 -0.6576 240 180 180 615.976 606.564 590.356
