"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"113" 82600007 1 1 0 3 0 -0.687 -0.4509 0.1462 -0.3751 -1.8434 -0.6853 0.2364 -0.4932 -0.2023 -1.1847 0 200 250 450 560.391 475.761 539.023 28 16.0923 0.1 1.4395 0.735 1.8947
"114" 82600007 0 1 0 5 0 -0.687 -0.5957 -0.7823 -0.8676 -0.3902 -1.5094 -0.5078 -0.8817 1.314 -2.4468 0 220 275 495 441.468 383.798 460.278 28 16.0923 0.1 1.4395 0.735 1.8947
"115" 82600007 1 1 0 6 0 0.4637 -0.7921 1.5082 1.3263 -0.6184 0.0477 1.9498 1.019 0.2148 1.0346 0 250 250 450 586.136 521.459 644.933 28 16.0923 0.1 1.4395 0.735 1.8947
"117" 82600007 0 1 0 3 0 0.8207 0.4766 -0.7823 1.4493 -0.3902 1.1793 2.157 -0.0985 1.314 -2.4468 2 200 250 300 443.375 529.681 510.737 28 16.0923 0.1 1.4395 0.735 1.8947
"119" 82600007 1 1 0 4 0 -0.13 -0.3489 -0.7823 0.6588 -0.0992 1.1793 0.7363 -0.5988 1.314 -1.0691 0 200 250 450 615.109 612.879 689.435 28 16.0923 0.1 1.4395 0.735 1.8947
"121" 82600007 1 1 0 3 0 0.052 -0.8527 -0.7823 -1.322 -1.8434 -1.5094 -0.2714 -0.7702 -0.9514 0.6364 0 250 200 450 384.668 423.124 404.362 28 16.0923 0.1 1.4395 0.735 1.8947
"122" 82600007 1 1 0 4 0 -0.687 -1.0013 0.1462 -0.0089 -0.4425 -0.4396 0.094 -0.5502 -0.2962 -1.3939 0 200 250 300 449.316 454.65 512.62 28 16.0923 0.1 1.4395 0.735 1.8947
"123" 82600007 1 1 0 5 0 0.052 0.6818 0.2907 1.0949 0.5478 1.1793 0.5323 1.1072 1.314 1.0346 0 250 200 450 462.452 568.286 560.952 28 16.0923 0.1 1.4395 0.735 1.8947
"124" 82600007 0 1 0 5 0 0.052 -0.6693 -0.7823 0.868 1.1114 -0.4396 0.5841 0.9386 0.7628 -0.6576 0 200 250 450 541.68 603.628 521.449 28 16.0923 0.1 1.4395 0.735 1.8947
"125" 82600007 0 1 0 3 0 0.8207 -0.0765 0.2907 0.7134 -1.0715 1.1793 1.4577 0.4724 -0.4171 -1.3914 0 200 250 450 686.385 646.824 620.939 28 16.0923 0.1 1.4395 0.735 1.8947
"126" 82600007 0 1 0 6 0 0.8794 -1.4716 0.7703 0.7722 0.6322 0.031 0.275 0.5344 1.314 0.6402 0 200 250 450 668.168 722.171 704.834 28 16.0923 0.1 1.4395 0.735 1.8947
"127" 82600007 1 1 0 4 0 -0.7592 0.9517 0.8615 0.5051 -0.9827 -0.4396 1.8267 0.3463 -0.6262 -0.6576 0 250 250 300 472.567 532.773 481.91 28 16.0923 0.1 1.4395 0.735 1.8947
"129" 82600007 0 1 0 3 0 0.4637 -0.5707 -0.7823 0.4852 -0.8559 1.1793 0.9613 -0.0184 1.314 1.0346 0 250 250 300 517.914 509.325 494.265 28 16.0923 0.1 1.4395 0.735 1.8947
"338" 82600018 0 3 0 5 0 0.8794 -1.2589 -0.7823 -1.1716 -0.7847 -0.8532 -1.0178 -0.556 0.4394 1.0346 0 300 300 300 530.999 584.569 650.174 23 15.5182 -0.0672 -0.3163 0.1795 0.9355
"339" 82600018 1 2 2 4 0 1.4083 0.4152 1.4721 -0.3513 0.1687 1.1793 -0.6985 -0.6031 -0.7857 -1.6688 0 300 300 360 590.274 599.741 618.836 23 15.5182 -0.0672 -0.3163 0.1795 0.9355
"345" 82600018 1 2 0 5 0 1.4083 -0.7535 -0.7823 -1.8164 -0.1662 -1.1123 -1.9884 -1.2455 1.314 0.0224 2 250 250 250 335.359 369.104 393.031 23 15.5182 -0.0672 -0.3163 0.1795 0.9355
