"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"27" 5600001 0 1 1 5 0 -0.4342 2.7249 -0.7823 -0.8819 -1.2782 -1.2622 0.0011 -0.6191 1.314 1.0346 1 100 100 0 414.812 366.193 413.946 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"28" 5600001 1 3 0 5 1 -0.2006 -0.4509 0.7703 0.2231 -0.7708 -0.1357 0.892 -0.3824 -0.1298 -0.6576 1 200 200 100 514.1 522.684 578.608 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"30" 5600001 1 1 0 5 0 -1.8939 -0.5015 0.8615 -1.9668 -1.8696 -2.3503 -1.0023 -0.6545 1.314 0.2169 0 200 200 100 486.87 514.311 520.741 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"31" 5600001 0 1 1 6 0 -0.4342 0.6818 0.7703 0.2799 -0.7708 -1.0118 0.8859 0.9302 0.4394 -0.6576 0 150 200 200 532.046 465.249 507.978 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"32" 5600001 1 3 0 4 0 -1.8939 -0.3184 0.2907 -0.853 -1.8696 -0.9191 -0.1781 -1.175 0.039 -0.6576 0 200 200 100 582.85 558.471 643.389 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"33" 5600001 0 1 1 6 0 0.4637 0.6818 -0.7823 0.2647 0.311 -0.1357 0.2122 0.7723 -0.013 0.3622 0 150 200 300 528.297 537.574 512.961 18 9.9652 -0.0703 -0.3163 0.7671 0.6274
"98" 5600004 1 1 1 4 0 -1.1858 0.1589 -0.7823 -0.9651 -1.8696 0.0477 -0.5042 -1.2861 -0.4795 1.0346 2 150 150 200 493.199 516.39 576.013 18 7.5856 -0.6884 0.8242 0.0753 0.1104
"111" 5600004 0 1 0 6 0 -0.3799 -0.672 0.2907 0.4853 -0.4961 0.1806 1.136 0.6052 -0.5575 -0.6576 2 250 200 600 590.655 533.271 481.166 18 7.5856 -0.6884 0.8242 0.0753 0.1104
"113" 5600004 0 1 0 4 1 0.4637 -0.3184 -0.7823 0.0763 0.7386 1.1793 -0.4982 -0.7632 0.2384 1.0346 1 150 150 400 574.349 475.057 491.192 18 7.5856 -0.6884 0.8242 0.0753 0.1104
"128" 5600005 1 1 0 4 0 0.1097 -1.2605 0.8233 -0.8831 -1.8696 -0.4396 -0.3406 -0.5654 -1.8358 -0.6576 0 150 150 200 563.234 532.83 528.099 18 9.23 0.1 -0.614 0.7486 0.1104
