"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"1" 20800001 0 1 264 6 0 0.0099 -1.272 -0.9792 -0.3498 -1.4832 -0.3184 -0.7823 1.5217 1.0528 1.1793 1.3832 1.3042 -1.3345 1.0346 2 135 315 180 396.943 320.519 366.807 23 15.7833 -0.2805 0.43 0.1945 -0.5968
"2" 20800001 0 1 264 6 0 -0.1542 0.2705 0.1956 -0.2006 1.6438 0.8801 0.8615 -0.16 -0.1113 -0.8243 0.8468 0.7362 -0.9734 1.0346 1 225 270 225 571.001 496.808 518.04 23 15.7833 -0.2805 0.43 0.1945 -0.5968
"3" 20800001 0 2 264 6 0 0.6523 -1.272 0.0113 0.052 0.8021 0.6862 -0.7823 0.7148 0.7448 1.1793 0.6844 0.8925 0.7628 1.0346 1 540 540 270 529 554.579 520.353 23 15.7833 -0.2805 0.43 0.1945 -0.5968
"4" 20800001 0 1 264 5 0 0.4627 0.2705 -0.5707 0.1097 -1.0974 -0.2897 -0.7823 -0.7378 -1.8222 1.1793 0.0342 -0.2417 -0.5575 -0.6576 1 135 225 135 432.664 509.723 487.18 23 15.7833 -0.2805 0.43 0.1945 -0.5968
"5" 20800001 0 1 264 6 0 2.0787 -1.272 0.6314 1.8905 -1.3413 0.1853 -0.7823 1.3855 0.9378 1.1793 1.256 1.457 0.039 0.6402 1 225 315 180 545.061 676.666 712.922 23 15.7833 -0.2805 0.43 0.1945 -0.5968
"6" 20800001 1 1 264 6 0 -0.6896 -1.272 0.1956 -0.9823 -0.109 0.6862 -0.7823 0.852 0.7306 1.1793 0.7532 1.0532 1.314 1.0346 0 360 420 300 643.943 678.603 652.317 23 15.7833 -0.2805 0.43 0.1945 -0.5968
"7" 20800001 1 1 264 6 0 -0.7077 -1.272 2.0054 -1.0109 -0.5531 1.4903 -0.7823 0.9006 0.2856 1.1793 1.6283 1.3682 0.1597 -1.0657 1 NA NA NA 487.438 498.95 472.8 23 15.7833 -0.2805 0.43 0.1945 -0.5968
"8" 20800001 0 1 264 6 0 1.5998 -1.272 -0.2047 -0.13 -1.0583 -0.4509 0.2907 0.8743 1.2462 1.1793 -0.1959 1.2915 -0.4377 1.0346 2 225 315 225 579.62 677.469 677.242 23 15.7833 -0.2805 0.43 0.1945 -0.5968
"9" 20800001 0 2 264 NA 0 1.2316 NA -0.733 1.8905 NA -1.0102 -0.7823 -0.6918 -1.8222 0.031 0.0143 -1.0762 -0.5973 NA 1 NA NA NA 456.988 431.703 398.406 23 15.7833 -0.2805 0.43 0.1945 -0.5968
"10" 20800001 1 1 264 5 0 -1.0279 -0.2888 0.571 -0.3799 0.4398 0.1997 0.2907 1.1332 1.2462 1.1793 0.8668 1.1097 -0.2441 0.6402 0 225 270 135 528.953 535.452 546.248 23 15.7833 -0.2805 0.43 0.1945 -0.5968
"11" 20800001 1 1 264 6 0 -0.9016 0.7323 0.1956 -0.4342 0.4558 0.9517 -0.7823 0.1986 0.3053 0.0477 0.223 0.9547 0.039 -0.6576 0 240 360 180 617.96 577.259 597.443 23 15.7833 -0.2805 0.43 0.1945 -0.5968
"12" 20800001 0 1 264 5 0 0.0127 0.7323 0.1956 1.8905 -0.5176 -0.3184 -0.7823 -0.6054 -1.8222 -0.8243 0.8869 -0.5589 -0.0554 0.3622 0 360 450 270 476.246 478.032 424.136 23 15.7833 -0.2805 0.43 0.1945 -0.5968
"13" 20800001 1 1 264 6 0 -0.7077 -1.272 2.0054 0.4637 -0.0614 2.7249 -0.7823 0.711 0.8489 1.1793 0.5278 0.622 -0.2023 -0.6576 1 NA 315 NA 555.146 489.294 474.299 23 15.7833 -0.2805 0.43 0.1945 -0.5968
"14" 20800001 0 2 618 5 0 1.7513 0.2705 -0.9792 0.4637 -0.6053 -0.5635 0.2907 0.0408 -0.0044 1.1793 -0.3192 -0.3475 0.7015 1.0346 1 225 315 180 566.391 553.757 551.982 23 15.7833 -0.2805 0.43 0.1945 -0.5968
"15" 20800001 1 1 264 6 0 1.01 -0.2888 0.3709 -0.1748 1.111 0.3018 0.2907 0.1186 -0.5942 -0.4903 0.8449 0.8098 -1.3684 -1.8649 0 NA NA NA 503.744 573.268 637.521 23 15.7833 -0.2805 0.43 0.1945 -0.5968
"16" 20800001 1 1 264 6 0 -2.7114 -1.272 2.0054 -0.687 -0.0614 2.7249 -0.7823 0.5371 0.0479 1.1793 1.3948 1.0158 1.314 -0.6576 0 225 270 180 570.446 587.508 556.652 23 15.7833 -0.2805 0.43 0.1945 -0.5968
"17" 20800001 1 1 264 6 0 -1.3214 -0.2888 -0.733 0.4637 0.0217 2.7249 0.8233 0.7913 0.5005 1.1793 0.4186 0.9923 -1.1481 1.0346 0 270 360 90 467.9 344.507 351.485 23 15.7833 -0.2805 0.43 0.1945 -0.5968
"18" 20800001 0 2 813 6 1 -0.2704 0.9672 -0.2661 0.4637 -0.8109 -0.4509 -0.7823 1.01 1.2106 1.1793 0.4909 1.187 0.6259 1.0346 2 NA NA NA 318.466 367.194 356.795 23 15.7833 -0.2805 0.43 0.1945 -0.5968
