"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"23" 4000001 0 1 148 4 0 -1.7421 -0.0545 -0.2047 -0.687 1.1262 0.4766 -0.7823 0.3991 0.2519 0.1806 0.2245 0.1576 0.2485 1.0346 100 100 100 422.937 427.898 430.666 23 1.6863 -0.2755 1.2343 0.6015
"24" 4000001 1 1 148 5 0 1.01 -1.272 -0.8279 0.8207 0.4152 -0.7628 NA 0.5239 0.5027 1.1793 0.3835 -0.2976 -1.7949 NA NA NA NA 465.06 481.939 473.098 23 1.6863 -0.2755 1.2343 0.6015
"25" 4000001 0 1 148 5 0 -0.4081 0.2705 -0.9792 0.4637 -0.7622 0.3018 NA 1.3251 1.0161 1.1793 0.851 1.129 -0.0348 NA NA NA NA 517.261 491.435 422.071 23 1.6863 -0.2755 1.2343 0.6015
"26" 4000001 0 1 148 3 0 1.7513 -0.4021 -2.345 0.1097 -0.8109 0.6818 -0.7823 -0.3636 -1.2648 -0.1357 -0.0479 -0.723 -0.7161 0.6402 100 100 150 497.099 510.003 522.65 23 1.6863 -0.2755 1.2343 0.6015
"27" 4000001 1 1 148 5 0 -2.7114 0.2705 -0.5229 0.4637 -0.0485 -0.3184 0.2907 0.9775 1.8303 -0.1357 0.2615 0.9819 0.6259 0.3586 110 110 385 506.901 434.337 410.441 23 1.6863 -0.2755 1.2343 0.6015
"28" 4000001 0 1 148 5 0 -1.9715 -0.4021 -0.8705 -0.7592 -0.0129 0.9517 -0.7823 0.0284 -1.8538 0.1806 0.8191 0.0864 0.7015 1.0346 100 100 100 522.207 528.36 473.6 23 1.6863 -0.2755 1.2343 0.6015
"29" 4000001 0 1 148 6 0 0.9011 -0.4021 -0.2047 -0.687 NA -0.3184 NA 0.5563 0.288 -0.6853 0.851 0.4123 -1.3583 NA NA NA NA 607.927 599.007 556.387 23 1.6863 -0.2755 1.2343 0.6015
"30" 4000001 0 1 148 3 0 -0.7077 -1.272 0.7871 -1.2319 -0.0614 0.9517 -0.7823 0.3664 0.5027 -0.6122 0.5627 -0.0483 -2.0248 -1.2947 100 100 150 518.677 566.74 577.764 23 1.6863 -0.2755 1.2343 0.6015
"31" 4000001 0 1 148 3 0 1.1914 0.5206 0.0113 1.1422 -0.0614 0.2968 0.2907 -0.0873 -0.5158 -0.6853 0.3793 -0.5013 -0.7562 0.6402 100 100 100 449.286 415.176 392.375 23 1.6863 -0.2755 1.2343 0.6015
"32" 4000001 1 1 148 3 1 -0.4081 -1.272 1.1811 1.1422 -0.8734 -0.3485 NA -0.1368 -0.7725 -0.6122 0.3 0.0105 -2.0248 -0.6576 150 100 100 539.421 552.11 567.109 23 1.6863 -0.2755 1.2343 0.6015
"33" 4000002 1 1 148 5 0 -0.2704 1.1904 -0.2047 0.1097 -1.4832 -0.6659 1.1625 0.0379 0.1497 -0.6122 0.2054 -0.1805 -1.2781 -1.0657 200 150 0 478.986 459.375 503.501 23 -0.6344 -1.8617 0.6482 0.2169
"34" 4000002 1 2 663 3 0 -2.7114 -0.6346 0.4352 -1.8939 1.6438 0.9423 -0.7823 -1.5276 -1.8538 -1.3835 -0.6668 -1.442 -1.0507 -0.6576 300 200 0 411.436 303.984 402.123 23 -0.6344 -1.8617 0.6482 0.2169
"35" 4000002 1 1 148 6 1 -2.7114 -0.6346 0.1956 -0.13 -0.1251 -0.4321 0.2907 -0.0453 1.8303 -1.0118 -0.7733 0.8328 0.1694 -0.6576 250 150 350 369.303 352.402 269.274 23 -0.6344 -1.8617 0.6482 0.2169
"36" 4000002 1 1 148 2 0 0.3859 -0.0545 2.0054 -1.8939 -1.5705 0.1982 1.5346 -1.1613 -1.8538 -0.6122 -0.8721 -1.7555 0.7628 -1.0624 150 150 400 459.857 486.692 544.409 23 -0.6344 -1.8617 0.6482 0.2169
"37" 4000002 1 1 148 5 0 -1.352 -0.7816 2.0054 1.0671 2.3693 2.7249 -0.7823 -0.5202 -0.0367 0.0477 -0.3964 -0.5537 1.314 1.0346 NA NA NA 435.261 406.926 419.727 23 -0.6344 -1.8617 0.6482 0.2169
"38" 4000002 1 1 148 3 1 -1.4526 0.7192 -0.2047 1.1422 -0.4684 0.6818 NA -0.1485 0.1635 -0.1357 -0.2929 -0.8101 -0.5575 NA NA NA NA 392.367 465.81 458.892 23 -0.6344 -1.8617 0.6482 0.2169
"39" 4000002 1 1 148 5 0 -0.9395 1.6524 0.1956 0.4637 NA NA 1.1625 0.2601 0.3676 1.1793 0.5269 -0.2364 1.314 -0.6576 150 100 200 316.05 242.762 349.694 23 -0.6344 -1.8617 0.6482 0.2169
"40" 4000002 1 2 663 4 0 -0.1485 1.0453 -0.2047 0.4637 0.0055 -0.4603 NA -0.1309 0.0185 0.0477 0.0217 -0.8027 -0.1512 1.0346 NA 150 NA 353.35 247.857 303.136 23 -0.6344 -1.8617 0.6482 0.2169
"41" 4000002 1 1 148 3 0 -1.7421 -1.272 2.0054 0.4637 -0.0614 0.6818 -0.7823 -0.2362 -1.8538 -0.4903 0.5036 -0.4087 -1.1481 1.0346 960 240 360 551.95 515.015 574.814 23 -0.6344 -1.8617 0.6482 0.2169
"42" 4000002 1 1 148 3 1 -1.352 1.2958 -0.6888 -0.2006 -0.9698 -0.4415 1.8016 0.2214 -0.3076 -0.1357 0.5138 0.2288 -0.3673 -0.6576 NA NA NA 388.264 360.293 362.98 23 -0.6344 -1.8617 0.6482 0.2169
"43" 4000002 1 NA 999 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 425.988 320.974 378.717 23 -0.6344 -1.8617 0.6482 0.2169
"44" 4000002 1 1 148 3 1 -0.1542 3.0064 -0.5707 -0.4342 -0.4684 -0.3184 -0.7823 -0.1069 0.1497 -0.1357 -0.1533 -0.4239 -0.3472 -0.6576 NA NA NA 441.614 382.583 381.001 23 -0.6344 -1.8617 0.6482 0.2169
"45" 4000002 1 1 148 3 0 -0.3571 0.7192 -0.6888 -0.2006 0.3858 0.4766 -0.7823 -0.2718 0.7229 -0.6853 -0.5168 -0.9391 -0.2023 -0.6576 250 150 100 373.078 343.962 388.71 23 -0.6344 -1.8617 0.6482 0.2169
"46" 4000002 1 1 148 3 0 -2.7114 -1.272 -0.2661 -0.4939 0.7251 0.6818 -0.7823 -0.5704 -1.8538 -1.0118 0.0321 -0.092 -0.3352 -0.6576 NA NA NA 389.384 365.01 424.988 23 -0.6344 -1.8617 0.6482 0.2169
"47" 4000002 1 1 148 6 0 NA 2.5529 -1.1146 -1.8939 NA -0.6353 -0.7823 -1.1052 -1.8538 -1.2622 -0.0478 0.3229 -0.2023 1.0346 250 200 0 417.174 275.333 438.144 23 -0.6344 -1.8617 0.6482 0.2169
