"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"21" 82600001 0 1 313 5 0 -0.2875 1.2958 0.0113 -0.5311 -0.0614 -1.5141 3.8591 0.4439 -0.1662 1.1793 0.6577 -0.207 -2.7106 -1.6688 0 NA NA NA 292.032 356.913 386.291 23 15.8053 0.265 -0.3163 -0.0384 0.5642
"22" 82600001 0 2 313 NA 0 NA NA NA NA NA NA NA -0.3781 -0.6699 1.1793 -0.2885 NA -0.4082 NA NA NA NA NA 318.352 351.882 359.117 23 15.8053 0.265 -0.3163 -0.0384 0.5642
"23" 82600001 0 NA 999 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 514.841 525.477 501.547 23 15.8053 0.265 -0.3163 -0.0384 0.5642
"24" 82600001 0 2 829 3 1 1.1914 NA NA NA NA NA NA -0.8486 -0.3018 -0.6947 -1.1491 -0.9056 -0.4466 NA NA NA NA NA 435.888 486.32 499.782 23 15.8053 0.265 -0.3163 -0.0384 0.5642
"25" 82600001 0 2 829 6 0 -0.8353 -0.3034 -0.9372 1.8905 -0.5325 2.7249 -0.7823 -0.2057 -0.1662 1.1793 -0.5068 0.9543 -0.3971 1.0346 NA 220 220 220 558.938 548.684 516.139 23 15.8053 0.265 -0.3163 -0.0384 0.5642
"26" 82600001 0 2 313 4 0 0.3568 -1.272 -2.345 0.176 0.3858 -0.3184 NA 0.1647 0.3239 1.1793 0.2534 -0.6948 0.7628 -0.6576 NA 250 200 200 444.982 564.411 472.673 23 15.8053 0.265 -0.3163 -0.0384 0.5642
"27" 82600001 0 1 313 6 0 0.638 0.8232 2.0054 0.1097 -0.0614 0.9517 -0.7823 1.2064 0.0896 1.1793 0.8908 1.2851 0.298 1.0346 NA 300 300 250 490.997 445.645 481.423 23 15.8053 0.265 -0.3163 -0.0384 0.5642
"28" 82600001 0 2 829 5 0 -0.1119 NA NA NA NA -0.9164 1.4812 -1.2666 -1.8434 -0.6853 -0.775 -0.2864 1.314 NA 2 NA NA NA 363.602 328.644 315.661 23 15.8053 0.265 -0.3163 -0.0384 0.5642
"29" 82600001 0 2 829 6 0 2.6131 -1.272 -2.345 -0.687 -0.0614 -0.6659 -0.7823 1.052 0.7725 0.7604 0.4645 0.7521 1.314 1.0346 0 165 165 220 310.346 320.935 302.523 23 15.8053 0.265 -0.3163 -0.0384 0.5642
"30" 82600001 0 2 829 6 0 NA NA NA NA NA NA NA 0.1774 -0.1662 1.1793 0.3003 0.077 NA NA NA NA NA NA 463.605 410.295 296.367 23 15.8053 0.265 -0.3163 -0.0384 0.5642
"31" 82600001 0 1 313 5 0 0.9011 -1.272 -0.5707 0.1097 -0.0614 0.0348 NA -0.9549 -0.53 1.1793 -1.3963 0.1641 -0.7161 -2.4468 NA NA NA NA 453.325 545.118 461.74 23 15.8053 0.265 -0.3163 -0.0384 0.5642
"32" 82600003 1 1 313 NA 0 -1.4526 0.7192 -0.2661 -0.4342 -0.4684 -0.3184 NA -0.0102 -0.3786 1.1793 0.0201 NA -0.2023 -0.6576 0 NA NA NA 479.397 454.486 554.436 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"33" 82600003 1 NA 999 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 433.978 348.969 400.586 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
"34" 82600003 0 1 313 6 0 -1.352 2.5529 2.0054 1.8905 -1.717 -1.4889 3.8591 1.0818 1.1114 0.0477 0.537 1.1181 0.7015 -1.5824 NA 240 240 420 413.514 466.223 425.899 28 22.7887 1.2478 -1.4551 -0.6364 0.2266
