"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "joy_read" "pisa_difficulty" "competitiveness" "fear_failure" "resilience" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "teach_multicult"
"27" 75600001 1 1 648 3 0 0.4956 -1.272 0.7871 0.8207 0.3611 -0.3184 NA 0.3674 0.4254 -0.6122 0.4583 -0.0459 -0.7366 -0.6576 NA NA NA 463.953 538.308 509.518 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"28" 75600001 0 3 148 5 0 0.8628 0.7323 -0.6888 1.1422 0.3858 1.4326 -0.7823 0.125 -0.1052 1.1793 0.7077 -0.2498 0.039 1.0346 225 225 90 470.452 491.269 461.516 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"29" 75600001 1 2 140 2 NA NA NA NA NA NA NA -0.7823 -2.7171 -1.5423 -2.8259 -1.9133 -2.7371 NA NA 45 90 90 315.682 275.773 288.852 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"30" 75600001 0 2 344 4 0 -0.4556 0.2705 0.7262 0.4637 0.3858 0.9303 NA 0.2051 0.816 0.7604 -0.3225 0.2251 0.7015 1.0346 180 45 90 270.054 361.959 276.84 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"31" 75600001 0 2 648 6 1 -0.3174 1.0453 -0.5707 -0.3799 0.7872 -0.4509 NA 1.1574 1.1953 -0.5089 0.5824 1.2076 0.3995 NA NA NA NA 441.964 406.94 397.15 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"32" 75600001 1 1 648 5 0 -2.7114 -1.272 1.2643 1.3423 2.3693 -1.4842 3.8591 0.9124 -0.0502 -0.6853 1.9429 1.3932 -0.5488 0.6402 225 315 360 557.755 427.509 556.349 18 8.92 0.1 0.1077 1.4126 1.3648 -1.0542
"33" 75600002 0 2 133 6 0 0.5915 -1.272 -0.9792 -0.687 2.3693 0.9423 -0.7823 1.158 1.0087 0.6763 0.2953 1.4937 1.314 1.0346 180 180 90 623.567 561.19 618.341 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"34" 75600002 1 2 232 3 0 -1.0555 1.1904 2.0054 0.4637 -0.0129 -0.0358 -0.7823 1.3733 1.1953 1.1793 1.094 0.1147 1.314 -0.6576 225 180 270 668.842 600.611 571.298 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"35" 75600002 0 2 148 6 0 0.1298 -0.7816 -0.2661 -0.4342 0.8236 2.7249 -0.7823 0.9771 0.5835 1.1793 0.7168 1.2041 0.4522 1.0346 180 180 180 617.707 556.951 560.788 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"36" 75600002 1 1 313 6 1 -2.7114 -1.272 -2.345 -1.4242 0.1218 0.3241 -0.7823 0.337 0.2269 -2.049 1.7754 1.1462 -0.3971 0.5029 135 180 90 499.3 461.516 525.947 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"37" 75600002 0 3 854 6 0 -0.2704 -1.272 0.1956 0.052 0.7872 2.7249 -0.7823 0.4872 -0.1932 -0.1357 1.1544 1.1183 -0.828 1.0346 225 135 180 520.956 535.075 456.029 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"38" 75600002 1 3 148 6 0 -0.8176 1.4885 0.849 -0.3799 1.1497 0.6818 -0.7823 0.2106 -0.3819 1.1793 0.5022 0.7759 -0.2023 0.6402 270 180 270 531.821 498.853 605.941 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"39" 75600002 1 1 648 6 0 -1.1538 -1.272 0.7262 -1.8939 -0.8738 -0.4509 1.1625 -0.8961 -0.3819 -0.6122 -1.0624 0.5112 1.314 1.0346 180 180 90 743.54 627.748 641.895 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"40" 75600002 0 2 148 6 0 0.391 -1.272 -0.6151 -1.8939 -0.0328 0.9423 NA 0.8428 1.5465 0.1806 0.0284 1.133 0.4394 NA NA NA NA 661.942 622.471 595.24 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"41" 75600002 1 1 648 6 0 1.2316 0.2705 2.0054 1.3423 -1.0974 -0.6913 0.2907 0.2698 -0.474 0.1806 0.2631 0.9229 0.3995 -0.6576 180 180 90 573.237 592.847 588.275 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"42" 75600002 1 1 648 6 0 2.6131 -0.2888 -0.4112 0.9606 0.3693 2.7249 0.2907 0.2746 -0.3819 -0.1357 0.8907 0.8657 0.039 0.2169 270 180 360 637.592 630.523 685.431 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"43" 75600002 0 1 648 5 1 -0.0573 0.2705 -0.9372 -0.13 -1.3068 0.3241 0.2907 0.2675 0.1299 -0.6853 0.291 0.5643 -0.9734 -1.58 180 180 90 517.439 445.503 483.866 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"44" 75600002 0 1 148 6 1 1.1194 -0.7816 1.2643 -1.1858 0.4558 0.3241 -0.7823 1.1586 1.0087 -0.1357 0.8181 1.4025 -0.9734 1.0346 180 180 90 565.518 632.281 568.95 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"45" 75600002 0 3 148 5 0 0.4067 -1.272 -2.345 1.8905 -2.1353 -1.308 -0.7823 1.2097 1.5465 1.1793 0.2044 1.1253 -0.2023 -0.6576 180 180 90 630.65 701.176 670.183 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"46" 75600002 1 1 648 3 0 0.4607 -1.272 -0.733 -1.4869 0.3611 0.4458 0.2907 0.4443 -0.474 -0.1357 0.4828 -0.1422 -0.2023 -1.0657 270 180 360 668.665 629.128 658.297 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"47" 75600002 0 3 148 5 0 -0.2704 -1.272 0.3709 -0.687 -0.0614 1.4903 -0.7823 0.8671 0.6634 1.1793 0.6222 0.9803 -0.7074 -0.6576 180 135 360 566.752 524.833 561.67 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"48" 75600002 0 1 148 6 0 1.7513 -1.272 -0.2047 0.052 0.3858 2.7249 -0.7823 0.2689 0.872 0.1806 -0.3133 1.1551 -0.3172 1.0346 180 180 360 762.332 728.007 778.287 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"49" 75600002 0 2 854 6 0 2.6131 -0.6346 -0.733 1.4083 -1.0746 -0.4701 0.1462 2.4246 1.1953 1.1793 1.3043 1.9476 0.2148 0.5029 180 180 90 578.911 544.763 560.614 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"50" 75600002 0 1 648 5 0 -1.7421 0.2705 1.1811 0.4637 2.3693 0.1889 -0.7823 0.9115 0.0213 1.1793 1.7754 0.7352 0.2485 0.0224 180 180 270 540.549 483.74 498.569 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"51" 75600002 1 1 648 5 0 -2.7114 -1.272 -1.2708 -0.687 0.0843 0.4458 NA 0.1511 -0.7888 -0.6122 0.7238 0.2614 -0.1605 -0.6576 NA NA NA 547.745 658.938 666.699 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"52" 75600002 0 NA 999 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 605.829 620.459 606.168 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"53" 75600002 1 1 648 6 0 1.3468 -0.2888 1.2643 -1.4869 0.3444 0.2863 1.5346 0.3474 0.6997 -1.0527 -0.0731 0.8338 0.0703 0.6364 180 135 90 711.555 685.908 778.35 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"54" 75600002 1 3 148 6 0 -0.4262 -0.6346 -0.5707 1.4083 1.1262 -1.2403 0.2907 1.0306 0.495 1.1793 1.3877 1.3483 -0.4795 -0.6439 180 180 90 604.7 624.124 612.362 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"55" 75600002 0 1 313 6 0 -0.917 -1.272 -0.5229 -1.059 -1.3068 -0.6123 -0.7823 -0.8814 -0.1611 -0.6122 -1.3018 0.6306 -1.5794 -0.6576 180 135 180 543.408 450.174 467.669 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"56" 75600002 0 1 648 6 1 0.8628 -1.272 1.2643 0.4637 -0.0614 -0.763 -0.7823 1.4474 1.0087 -0.1357 1.0685 1.6539 -0.7074 -0.6576 225 135 180 586.898 595.713 559.813 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"57" 75600002 1 1 648 5 1 0.8628 -1.272 2.0054 1.8905 -0.0614 2.7249 -0.7823 0.995 1.0087 -0.6122 0.5524 0.7218 0.7015 -0.6576 225 180 270 619.681 676.188 602.87 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"58" 75600002 0 2 148 6 0 -0.4081 -0.6346 -0.9792 -0.13 0.3858 1.4685 -0.7823 0.7104 0.3574 1.1793 0.4597 1.0912 0.7628 1.0346 180 180 90 641.694 583.289 508.659 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"59" 75600002 1 3 148 6 0 -0.0254 -1.272 -0.2047 -1.8939 -0.7997 0.0348 1.1625 0.1682 0.2269 -0.1357 -0.0962 0.0035 -0.3882 -0.6439 225 180 180 660.153 518.961 564.147 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"60" 75600002 1 1 200 6 0 0.0508 1.0558 -0.5707 -0.687 0.8236 -0.6228 -0.7823 0.7876 1.0087 0.1806 0.4475 1.0248 -0.5488 1.0346 180 180 90 530.072 429.581 458.441 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"61" 75600002 1 1 648 6 0 -0.4081 0.2705 0.3709 -0.2006 0.8496 0.4766 0.7703 0.2424 0.1299 -0.1357 0.4015 0.9869 -0.3971 -0.6576 180 180 180 631.483 646.612 626.274 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"62" 75600002 1 2 854 6 0 -1.352 0.8232 -1.4383 0.176 1.1651 2.7249 -0.7823 0.3531 0.872 1.1191 0.1219 -0.1849 1.314 1.0346 225 225 135 649.693 618.52 629.294 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"63" 75600002 0 1 648 6 0 2.0787 -1.272 0.1956 1.8905 -1.0974 -0.9139 0.7703 0.4738 1.5465 -0.4903 -0.5536 0.9911 0.2485 -0.6439 180 180 180 594.684 642.548 678.546 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"64" 75600002 1 1 648 6 0 -0.0573 -1.272 -0.9792 -1.4869 -0.0614 0.3241 -0.7823 0.9769 0.1299 -0.1357 1.5516 1.4473 -0.1298 1.0346 360 180 180 566.816 568.605 665.6 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"65" 75600002 0 3 854 6 0 -0.7413 1.2826 -0.8279 0.4637 1.1651 -0.3184 -0.7823 0.8698 0.6561 -0.1357 1.0887 1.2803 -1.1481 1.0346 180 180 90 581.667 534.363 549.249 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"66" 75600002 1 3 148 4 0 0.5572 -0.7816 -0.9792 -1.8939 -1.4714 -0.7764 0.1462 0.4549 0.4816 -1.0193 0.868 0.0334 -0.3971 -1.0657 180 135 180 574.498 478.763 526.475 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443
"67" 75600003 1 1 648 5 0 0.0595 -1.272 -0.4112 0.3335 0.3864 0.0672 NA -0.0459 -0.1932 1.1387 -0.6312 0.5581 -0.5197 NA NA NA NA 722.367 622.112 668.41 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"68" 75600003 1 1 648 6 0 -2.7114 -1.272 1.1811 -0.687 -0.8109 1.4903 -0.7823 0.5559 0.9524 1.1793 -0.6931 1.1059 0.385 0.6402 270 180 270 758.378 647.855 664 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"69" 75600003 0 1 648 6 0 0.3374 -0.6451 0.1956 -0.687 -0.8109 0.6818 -0.7823 0.5484 0.6045 -0.1357 0.5953 1.1225 -1.1408 1.0346 225 180 90 680.862 730.988 680.67 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"70" 75600003 0 1 648 5 0 1.3468 -0.8863 -1.2708 -0.9295 0.0501 0.6818 NA 0.5588 1.0087 -0.1357 -0.1575 0.4 -0.5575 NA NA NA NA 623.554 697.804 689.538 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"71" 75600003 0 1 648 6 0 -1.9715 0.8232 -0.5707 -0.9295 -0.0614 0.9683 -0.7823 0.6121 0.1299 -0.1357 1.2898 1.1296 -0.013 0.6402 180 135 180 674.41 563.021 516.966 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"72" 75600003 1 1 648 5 0 -0.5437 -1.272 0.1956 -0.9823 0.7034 0.6818 NA -0.5217 -0.6541 -0.1357 0.0396 -0.175 -0.1719 NA NA NA NA 675.84 640.441 674.274 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"73" 75600003 0 1 648 4 0 0.4067 -1.272 -0.2047 -0.729 0.3858 0.6653 NA -0.792 -0.0502 -0.1357 -1.3414 -0.5581 -0.9214 NA NA NA NA 562.133 616.817 586.926 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"74" 75600003 1 2 648 1 0 2.0787 -1.272 -0.4112 -1.2319 NA NA NA 1.0626 1.5465 1.1793 0.2618 -1.2946 -1.2781 NA NA NA NA 635.287 575.696 590.223 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"75" 75600003 0 1 648 6 0 1.3468 -0.4021 -0.8705 -1.8939 -0.0328 0.9683 -0.7823 0.0443 0.2126 -0.1357 -0.1689 0.7333 -0.5973 1.0346 180 180 90 592.428 671.842 613.283 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"76" 75600003 1 2 854 3 0 -0.6146 2.1209 0.1956 -0.7592 0.3858 2.7249 0.7703 0.7532 0.5835 -0.1357 0.7633 -0.1988 -0.5973 -1.3939 225 135 315 569.263 462.425 463.564 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"77" 75600003 0 1 648 3 0 -0.1042 0.2705 1.2643 1.8905 -1.018 -1.3106 NA 0.1738 -1.2227 0.1806 0.73 0.1438 -1.7803 -1.3914 NA NA NA 549.368 631.735 573.92 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"78" 75600003 1 2 148 4 0 0.4956 -1.272 -0.9792 -1.8939 0.2569 1.4326 -0.7823 1.7231 1.1953 1.1793 1.1271 0.6291 1.314 1.0346 270 180 180 695.419 732.894 618.029 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"79" 75600003 1 1 648 6 0 0.0293 -0.6451 2.0054 0.4637 1.1262 1.4685 NA 1.8587 0.6765 -0.1357 2.0566 1.3278 -0.9214 NA NA NA NA 682.304 611.777 609.555 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"80" 75600003 0 2 854 6 0 -0.5262 -1.272 -0.2047 1.0944 -0.8579 -0.0633 0.7703 0.3278 0.5835 -0.1357 0.0381 0.6799 -1.8358 1.0346 270 180 270 617.949 571.775 530.04 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"81" 75600003 1 1 313 4 0 1.0781 -1.272 1.1811 1.8905 -1.1108 -0.2143 NA -0.886 -0.474 -1.6618 -0.8123 -0.2277 0.039 NA NA NA NA 575.258 617.665 591.014 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"82" 75600003 0 1 648 5 0 -0.0872 -0.6346 0.3709 -1.4869 -1.0673 0.2243 NA 0.5102 -0.0502 0.0477 0.338 0.7493 -0.3584 NA NA NA NA 736.736 726.325 639.518 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"83" 75600003 0 NA 648 6 0 0.6523 0.9672 -0.5707 0.4637 -0.5176 1.4685 NA 0.3093 0.2484 -0.1357 0.4003 0.9215 -0.1719 NA NA NA NA 519.863 506.35 578.589 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"84" 75600003 0 1 648 2 0 0.9034 -1.272 0.571 -1.8939 -0.1628 1.4903 NA 0.772 0.6997 -0.1357 0.5662 -0.7996 1.314 NA NA NA NA 594.6 600.544 535.129 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"85" 75600003 1 1 648 6 0 -1.9715 -0.2888 -0.9792 0.052 -0.0614 -0.8694 0.2907 0.7522 0.6561 1.1793 0.1624 0.6416 -0.2023 -1.3964 1530 540 NA 660.679 567.009 666.153 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"86" 75600003 0 1 648 6 0 1.5998 -0.6346 0.1956 -0.7592 1.5527 2.7249 0.2907 1.2511 1.5465 -0.1357 0.422 1.2789 -1.1965 0.6364 225 180 360 685.319 651.32 640.749 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"87" 75600003 0 1 648 6 0 0.2164 -1.272 -0.5707 -0.687 -0.5176 0.1634 -0.7823 -0.6782 -0.0244 -0.1357 -1.3301 0.7543 -0.819 1.0346 225 180 180 649.957 678.211 624.88 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"88" 75600003 0 1 648 3 0 1.5998 -1.272 -1.0881 1.3423 -0.1433 -0.2302 NA -0.5993 0.6997 -0.1357 -1.7927 -1.036 0.2485 -1.3914 NA NA NA 678.83 663.472 657.883 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"89" 75600003 0 1 648 6 0 0.7568 -1.272 -0.5707 -1.1858 -0.8738 0.0672 0.2907 1.3381 0.5835 1.1793 0.9024 1.2952 -0.3673 -0.6576 135 180 270 602.191 613.901 646.23 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"90" 75600003 0 2 648 6 0 -0.2888 -1.272 2.0054 1.0944 1.1262 -0.3184 0.2907 0.5972 0.4765 -0.1357 0.2044 0.8427 -1.3345 -0.6576 225 135 270 642.435 646.605 614.558 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"91" 75600003 1 NA 999 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 543.989 546.308 566.136 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"92" 75600003 0 1 648 6 0 0.9714 -0.4021 -0.7163 -1.4869 0.0501 0.3225 NA 0.44 0.4616 1.1793 -0.1653 -0.0467 -0.5488 1.0346 180 180 180 613.247 636.626 577.24 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"93" 75600003 1 2 854 6 0 -1.9715 -1.272 2.0054 -1.109 1.1262 0.6738 1.5346 0.7325 1.1953 -0.1357 0.2408 0.621 -1.1481 1.0346 270 180 360 561.814 539.775 525.482 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
"94" 75600003 1 1 648 6 0 0.0293 -0.6346 -0.9792 -1.4869 0.8496 -0.9675 -0.7823 0.2819 1.5465 -0.1357 -0.8522 0.9899 0.0079 0.2169 135 135 180 583.184 559.218 549.627 28 11.4286 -0.1098 -1.4551 0.5515 0.9355 0.9042
