"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "teach_multicult" "private"
"36" 75600002 1 1 2 6 1 -1.4242 0.3241 -0.7823 1.1462 -0.3971 0.5029 135 180 90 499.3 461.516 525.947 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"37" 75600002 0 3 3 6 0 0.052 2.7249 -0.7823 1.1183 -0.828 1.0346 225 135 180 520.956 535.075 456.029 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"38" 75600002 1 3 2 6 0 -0.3799 0.6818 -0.7823 0.7759 -0.2023 0.6402 270 180 270 531.821 498.853 605.941 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"39" 75600002 1 1 0 6 0 -1.8939 -0.4509 1.1625 0.5112 1.314 1.0346 180 180 90 743.54 627.748 641.895 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"41" 75600002 1 1 0 6 0 1.3423 -0.6913 0.2907 0.9229 0.3995 -0.6576 180 180 90 573.237 592.847 588.275 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"42" 75600002 1 1 0 6 0 0.9606 2.7249 0.2907 0.8657 0.039 0.2169 270 180 360 637.592 630.523 685.431 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"43" 75600002 0 1 0 5 1 -0.13 0.3241 0.2907 0.5643 -0.9734 -1.58 180 180 90 517.439 445.503 483.866 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"44" 75600002 0 1 2 6 1 -1.1858 0.3241 -0.7823 1.4025 -0.9734 1.0346 180 180 90 565.518 632.281 568.95 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"45" 75600002 0 3 2 5 0 1.8905 -1.308 -0.7823 1.1253 -0.2023 -0.6576 180 180 90 630.65 701.176 670.183 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"46" 75600002 1 1 0 3 0 -1.4869 0.4458 0.2907 -0.1422 -0.2023 -1.0657 270 180 360 668.665 629.128 658.297 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"47" 75600002 0 3 2 5 0 -0.687 1.4903 -0.7823 0.9803 -0.7074 -0.6576 180 135 360 566.752 524.833 561.67 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"48" 75600002 0 1 2 6 0 0.052 2.7249 -0.7823 1.1551 -0.3172 1.0346 180 180 360 762.332 728.007 778.287 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
"49" 75600002 0 2 3 6 0 1.4083 -0.4701 0.1462 1.9476 0.2148 0.5029 180 180 90 578.911 544.763 560.614 18 7.4348 0.1 -1.4551 -0.0384 0.6101 -1.8443 "private"
