"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "private"
"126" 82600007 0 1 0 6 0 0.8794 -1.4716 0.7703 0.5344 1.314 0.6402 0 200 250 450 668.168 722.171 704.834 28 16.0923 0.1 1.4395 0.735 1.8947 "missing"
"127" 82600007 1 1 0 4 0 -0.7592 0.9517 0.8615 0.3463 -0.6262 -0.6576 0 250 250 300 472.567 532.773 481.91 28 16.0923 0.1 1.4395 0.735 1.8947 "missing"
"129" 82600007 0 1 0 3 0 0.4637 -0.5707 -0.7823 -0.0184 1.314 1.0346 0 250 250 300 517.914 509.325 494.265 28 16.0923 0.1 1.4395 0.735 1.8947 "missing"
"338" 82600018 0 3 0 5 0 0.8794 -1.2589 -0.7823 -0.556 0.4394 1.0346 0 300 300 300 530.999 584.569 650.174 23 15.5182 -0.0672 -0.3163 0.1795 0.9355 "missing"
"339" 82600018 1 2 2 4 0 1.4083 0.4152 1.4721 -0.6031 -0.7857 -1.6688 0 300 300 360 590.274 599.741 618.836 23 15.5182 -0.0672 -0.3163 0.1795 0.9355 "missing"
"340" 82600018 0 1 0 4 0 0.4637 -0.3184 -0.7823 -0.4016 0.4394 1.0346 1 240 300 300 435.158 534.626 522.45 23 15.5182 -0.0672 -0.3163 0.1795 0.9355 "missing"
"345" 82600018 1 2 0 5 0 1.4083 -0.7535 -0.7823 -1.2455 1.314 0.0224 2 250 250 250 335.359 369.104 393.031 23 15.5182 -0.0672 -0.3163 0.1795 0.9355 "missing"
"346" 82600018 0 3 2 1 0 0.7405 -0.338 -0.7823 -2.6788 -0.1719 -0.6576 0 300 300 240 493.772 355.55 389.742 23 15.5182 -0.0672 -0.3163 0.1795 0.9355 "missing"
"348" 82600018 1 2 2 4 0 -0.6133 -0.0323 0.2907 -1.0722 -0.7161 -0.9167 2 360 360 300 541.965 588.373 552.698 23 15.5182 -0.0672 -0.3163 0.1795 0.9355 "missing"
"352" 82600018 0 1 0 3 0 0.1097 -0.7669 -0.7823 -1.1417 0.7015 -1.3914 0 300 300 300 439.975 541.477 457.72 23 15.5182 -0.0672 -0.3163 0.1795 0.9355 "missing"
