"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "private"
"47" 4000002 1 1 0 6 0 -1.8939 -0.6353 -0.7823 0.3229 -0.2023 1.0346 250 200 0 417.174 275.333 438.144 23 -0.6344 -1.8617 0.6482 0.2169 "missing"
"49" 4000002 1 1 0 5 0 -0.3799 0.6818 0.2907 0.6709 -0.6587 1.0346 200 100 1500 513.873 543.913 543.338 23 -0.6344 -1.8617 0.6482 0.2169 "missing"
"50" 4000002 1 1 0 5 0 -0.13 -0.9879 1.1625 -0.4251 -0.1169 -1.5824 720 480 480 332.785 343.508 374.909 23 -0.6344 -1.8617 0.6482 0.2169 "missing"
"51" 4000002 1 1 0 5 1 1.8905 0.705 2.07 0.2966 -1.0075 1.0346 275 165 0 333.331 325.419 346.434 23 -0.6344 -1.8617 0.6482 0.2169 "missing"
"52" 4000002 1 1 0 3 0 0.5949 -0.304 -0.7823 -0.9306 -1.017 -1.58 250 200 1800 418.742 355.825 390.164 23 -0.6344 -1.8617 0.6482 0.2169 "missing"
"54" 4000002 1 1 0 5 0 -0.9295 -0.4509 0.2907 -0.1181 -0.0037 -1.8624 0 0 0 524.386 383.601 475.206 23 -0.6344 -1.8617 0.6482 0.2169 "missing"
"56" 4000002 1 2 2 6 0 0.4637 0.9683 0.8615 -1.2637 -0.5575 -0.6576 200 150 400 565.539 492.661 538.298 23 -0.6344 -1.8617 0.6482 0.2169 "missing"
"57" 4000002 1 1 0 3 0 0.4637 0.9331 -0.7823 -0.8995 -0.2023 1.0346 300 250 300 461.279 506.642 494.821 23 -0.6344 -1.8617 0.6482 0.2169 "missing"
"59" 4000002 1 1 0 5 1 1.8905 -0.0879 -0.7823 -0.3283 0.4522 -1.3889 500 150 0 459.428 465.246 502.844 23 -0.6344 -1.8617 0.6482 0.2169 "missing"
"60" 4000002 1 1 0 5 0 0.1097 -0.9911 -0.7823 -0.6215 -2.7106 -1.7696 250 150 500 436.97 373.274 409.758 23 -0.6344 -1.8617 0.6482 0.2169 "missing"
"61" 4000002 1 2 2 6 0 -1.4869 0.6818 -0.7823 1.173 1.314 -1.7671 500 150 600 625.367 487.812 531.104 23 -0.6344 -1.8617 0.6482 0.2169 "missing"
"63" 4000002 1 1 0 6 0 1.1422 -0.763 -0.7823 0.3699 -0.0348 -1.8624 510 255 255 483.109 365.793 447.533 23 -0.6344 -1.8617 0.6482 0.2169 "missing"
"64" 4000002 1 1 0 3 0 -1.2792 -0.6693 0.2907 -0.3578 1.314 1.0346 300 300 100 622.502 589.967 587.406 23 -0.6344 -1.8617 0.6482 0.2169 "missing"
"67" 4000003 1 2 2 3 0 -1.8939 1.4903 -0.7823 -0.5157 1.314 0.6364 200 100 200 495.233 417.57 457.283 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"68" 4000003 1 3 3 4 0 1.1422 -0.8527 1.1625 -1.023 0.2485 -1.1817 250 150 0 554.599 498.154 536.3 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"69" 4000003 1 1 0 5 0 -1.8939 1.4685 0.2907 0.1632 -0.2023 1.0346 200 200 750 477.18 458.953 519.117 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"70" 4000003 1 1 2 6 0 -0.3009 -0.6306 3.8591 0.7025 -0.4501 -0.9167 300 100 600 500.179 479.396 487.63 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"71" 4000003 1 1 0 3 0 -0.687 -0.3184 0.2308 -1.0352 -0.6262 -1.0691 200 100 150 530.029 510.124 508.076 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"72" 4000003 1 2 2 5 0 -0.4939 0.4951 0.2907 -0.4146 1.314 -0.6576 150 150 300 380.647 399.705 371.222 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"73" 4000003 1 2 0 3 0 -0.2006 -0.6913 0.2907 -0.3921 1.314 1.0346 200 150 200 480.456 399.835 462.496 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"74" 4000003 1 1 0 3 1 -1.4869 0.6713 -0.7823 -0.2127 0.7015 1.0346 200 100 50 477.604 370.239 348.347 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"75" 4000003 1 1 0 5 1 -1.4242 -0.6505 0.2907 -0.2657 -0.2327 1.0346 350 150 100 427.953 396.655 368.386 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"77" 4000003 1 1 0 4 0 0.4637 0.3018 -0.7823 -0.4628 -1.1481 -0.6576 200 150 350 494.794 488.525 488.126 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"78" 4000003 1 1 0 5 0 0.4637 -0.6464 2.4601 0.0531 -1.1481 -0.6576 200 100 100 436.433 360.383 401.39 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"80" 4000003 1 2 3 3 1 -0.687 0.3349 -0.7823 -0.8769 0.481 1.0346 180 90 360 492.566 399.751 430.436 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"81" 4000003 1 1 0 5 0 1.3423 0.0348 0.2308 -0.1468 -0.0037 1.0346 200 200 400 485.166 469.868 436.698 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"83" 4000003 1 1 0 3 0 -0.9823 0.4951 -0.7823 -0.6203 -0.0348 -2.4468 200 100 450 481.028 496.606 482.532 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"84" 4000003 1 2 2 2 0 -1.2792 0.4893 -0.7823 -1.4224 -1.3345 -0.6576 180 135 315 456.301 390.43 361.089 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"85" 4000003 0 1 0 3 0 0.4637 0.6818 -0.7823 -1.0617 -0.4671 1.0346 200 150 400 401.996 395.373 414.544 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"86" 4000003 1 1 0 6 1 -0.6133 -0.1769 -0.7823 0.3474 -0.8154 -1.3964 35 280 0 367.533 272.284 393.7 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"87" 4000003 1 1 0 4 0 0.4637 0.3018 -0.7823 -0.5208 0.7628 1.0346 250 150 350 505.388 475.064 470.706 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"88" 4000003 1 1 0 5 0 -0.4342 0.4581 -0.7823 0.0406 0.4394 0.2169 200 150 400 499.974 403.54 429.022 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"95" 4000003 0 2 0 5 1 -0.3799 0.0595 1.5082 -0.5969 -0.3673 -1.3939 200 100 250 381.1 319.027 305.725 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"97" 4000003 1 1 2 6 1 -1.8939 0.6879 1.7405 -1.8195 1.314 0.2127 220 165 330 306.35 331.907 394.81 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"98" 4000003 1 2 2 2 0 1.3423 0.6818 -0.7823 -1.4873 -0.7769 1.0346 200 100 300 413.824 374.465 373.569 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"99" 4000003 1 1 0 3 1 -0.687 0.6818 -0.7823 -0.5026 -0.2023 0.3586 200 100 350 407.809 457.078 471.437 13 1.2478 0.1562 0.6764 -0.1662 "missing"
"103" 4000004 0 1 2 3 1 0.4637 -0.6464 -0.7823 -1.252 -1.1481 -1.5824 0 250 0 422.992 441.962 438.38 23 -0.2376 -0.6465 1.5622 0.2266 "missing"
"104" 4000004 0 1 0 4 0 0.4637 -0.0649 1.1625 -0.3411 -2.7106 -1.0691 0 720 600 431.871 349.787 399.593 23 -0.2376 -0.6465 1.5622 0.2266 "missing"
"106" 4000004 0 2 3 5 0 1.8905 0.4458 -0.7823 -0.4504 -1.1481 1.0346 0 250 150 434.894 432.726 430.843 23 -0.2376 -0.6465 1.5622 0.2266 "missing"
"107" 4000004 1 1 0 5 0 -0.3799 -0.4233 -0.7823 -0.2758 -0.9306 0.5029 0 250 0 503.596 515.275 413.047 23 -0.2376 -0.6465 1.5622 0.2266 "missing"
"108" 4000005 0 1 0 3 1 -1.1858 0.6818 -0.7823 -0.8446 -1.1965 -1.0691 100 150 100 492.005 470.888 496.094 23 -1.4212 -0.2792 0.3894 0.5672 "missing"
