"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "ESCS_status" "teacher_support" "emo_sup" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "private"
"432" 4000017 1 1 0 3 0 -1.0109 0.4829 0.2907 0.0956 0.2485 -1.5847 150 200 200 720.953 681.241 604.459 28 0.4591 1.1525 1.0522 -0.1662 "missing"
"433" 4000017 1 1 0 6 0 -1.8939 0.6818 -0.7823 1.1691 -1.1077 1.0346 200 150 200 633.028 534.195 560.173 28 0.4591 1.1525 1.0522 -0.1662 "missing"
"434" 4000017 1 1 0 4 0 -0.9823 2.7249 0.2308 0.2581 -2.7106 -1.4886 220 165 165 473.652 452.82 548.808 28 0.4591 1.1525 1.0522 -0.1662 "missing"
"436" 4000017 1 1 0 5 0 -0.9823 0.6344 0.2907 0.5046 -1.2881 1.0346 150 100 100 568.872 573.489 588.251 28 0.4591 1.1525 1.0522 -0.1662 "missing"
"438" 4000017 1 1 0 4 0 0.9109 -0.5665 1.8279 -0.3548 -1.3684 0.3622 150 150 150 586.446 588.623 586.224 28 0.4591 1.1525 1.0522 -0.1662 "missing"
"439" 4000017 1 1 0 3 0 -0.6133 0.6818 -0.7823 -0.8898 -1.415 0.2169 200 100 250 602.366 541.827 572.569 28 0.4591 1.1525 1.0522 -0.1662 "missing"
"440" 4000017 1 1 0 3 0 -1.8939 -1.866 -0.7823 -0.4715 -1.2781 -0.6576 150 100 150 567.673 435.026 487.496 28 0.4591 1.1525 1.0522 -0.1662 "missing"
"441" 4000017 0 1 0 4 0 -1.8939 -1.2173 1.1928 -0.1181 -0.6262 -2.4468 150 100 450 465.764 514.407 587.859 28 0.4591 1.1525 1.0522 -0.1662 "missing"
"442" 4000017 1 2 0 2 0 -0.6133 0.6818 0.7703 -1.4314 0.0483 1.0346 150 100 250 545.773 504.48 451.177 28 0.4591 1.1525 1.0522 -0.1662 "missing"
"443" 4000017 1 1 0 6 1 -0.9295 1.4903 -0.7823 0.5947 -1.5447 1.0346 150 150 200 544.042 498.241 555.696 28 0.4591 1.1525 1.0522 -0.1662 "missing"
"444" 4000017 1 1 0 5 0 -0.687 0.6818 -0.7823 0.0962 0.1155 1.0346 150 100 100 615.768 488.981 515.908 28 0.4591 1.1525 1.0522 -0.1662 "missing"
"445" 4000017 0 1 0 6 0 0.3335 0.0348 -0.7823 0.731 -0.3882 1.0346 150 150 200 535.421 564.335 477.56 28 0.4591 1.1525 1.0522 -0.1662 "missing"
"446" 4000017 1 2 3 3 0 -1.8939 0.6818 -0.7823 -0.4936 -2.1007 -0.6576 200 100 150 532.422 499.721 563.717 28 0.4591 1.1525 1.0522 -0.1662 "missing"
"447" 4000017 1 1 0 3 0 -0.9823 -0.3184 -0.7823 -1.0064 -1.555 -1.5824 220 220 110 545.211 424.415 497.57 28 0.4591 1.1525 1.0522 -0.1662 "missing"
"448" 4000017 1 2 0 3 0 0.4637 0.2844 -0.7823 -0.7038 -1.5447 1.0346 150 150 250 441.162 455.151 479.003 28 0.4591 1.1525 1.0522 -0.1662 "missing"
"449" 4000017 1 1 0 6 0 -0.687 0.3018 0.2907 1.6581 -1.8358 0.2169 200 100 600 621.056 585.412 624.64 28 0.4591 1.1525 1.0522 -0.1662 "missing"
"450" 4000017 1 1 0 6 0 0.8207 0.6862 -0.7823 1.1025 -2.1621 1.0346 200 200 200 532.374 512.763 583.878 28 0.4591 1.1525 1.0522 -0.1662 "missing"
"454" 4000018 0 3 2 6 0 -1.8939 0.3241 -0.7823 0.0719 -1.7803 1.0346 220 220 110 361.379 337.235 312.705 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"455" 4000018 0 1 0 4 0 -1.1597 1.4903 -0.7823 -0.6662 -0.5088 1.0346 200 200 100 495.411 522.999 446.169 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"456" 4000018 1 2 2 4 0 -0.3799 -0.5635 1.4812 -0.5802 -0.1605 -1.2947 200 200 50 535.747 405.507 468.395 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"458" 4000018 0 1 0 5 0 1.8905 -0.6765 -0.7823 0.8438 -1.8358 -1.0657 150 150 250 438.635 554.89 529.884 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"460" 4000018 0 1 0 4 0 1.0671 2.7249 -0.7823 -0.0492 -0.6878 -0.6576 150 150 200 615.006 602.671 607.124 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"462" 4000018 0 2 3 3 0 1.3423 0.6818 -0.7823 -0.4193 1.314 1.0346 150 150 150 477.816 478.677 419.541 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"463" 4000018 0 2 2 5 0 -0.2006 -1.5473 -0.7823 -0.1898 -0.2023 1.0346 250 250 100 454.115 468.783 381.936 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"464" 4000018 1 1 0 3 0 -0.3498 -0.9836 -0.7823 -0.4772 -0.1931 -1.8649 150 150 400 627.368 581.986 596.935 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"465" 4000018 0 1 0 4 0 0.4637 -0.5112 -0.7823 0.2116 -1.8358 -1.0691 150 150 200 591.269 629.064 644.05 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"466" 4000018 0 1 0 6 0 -0.7592 2.7249 -0.7823 0.2732 0.4522 1.0346 200 200 150 575.04 592.131 511.058 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"467" 4000018 0 3 0 0 0 0.4637 -0.1612 0.8233 -2.9945 -0.8998 0.6402 200 200 150 338.454 308.323 281.06 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"471" 4000018 0 1 0 2 0 1.8905 -0.589 -0.7823 -1.3576 -0.3262 0.2127 150 150 200 521.684 533.792 494.153 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"473" 4000018 1 1 0 5 1 -1.4869 0.9303 1.203 -0.1309 -0.1605 0.6364 200 200 200 605.307 598.025 531.985 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"474" 4000018 0 3 2 4 0 1.1422 -0.3184 -0.7823 -0.3051 1.314 0.3622 180 180 180 373.334 385.556 325.818 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"475" 4000018 0 1 0 6 1 0.8207 1.4903 -0.7823 0.6941 1.314 1.0346 250 150 200 390.498 448.657 442.814 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"476" 4000018 0 3 2 4 0 0.4637 -0.3184 0.2907 0.1778 -2.7106 0.6402 200 200 100 500.948 535.557 480.141 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"477" 4000018 0 1 3 3 0 1.0671 -0.3184 1.8016 0.1096 -2.0248 -1.0657 150 150 200 558.929 536.771 568.216 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"479" 4000018 0 1 0 6 1 -0.0845 -0.3184 0.7703 0.5429 -1.6385 -1.0691 200 200 150 449.175 501.335 413.821 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"480" 4000018 0 2 0 5 0 -1.8939 0.6818 1.4454 -0.4037 0.7015 1.0346 200 200 100 431.887 451.428 491.425 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"481" 4000018 1 1 0 6 0 -0.9295 2.7249 0.2907 0.2137 -1.6385 0.2169 150 150 0 505.55 504.687 509.741 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"482" 4000018 1 3 2 2 1 -0.7985 1.4903 -0.7823 -1.8412 0.4522 1.0346 200 200 100 476.849 416.194 398.692 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"485" 4000018 0 1 0 3 0 -0.687 -0.1562 0.2907 -0.4953 -1.3583 0.2127 220 220 220 553.998 631.25 609.675 18 -0.2376 -0.2792 0.3442 -0.4415 "missing"
"516" 4000021 0 1 0 6 1 1.0671 0.6818 -0.7823 -0.0126 -1.415 -1.0657 200 200 400 450.413 502.886 490.738 23 0.1 0.9648 -0.0956 0.9355 "missing"
"517" 4000021 0 1 0 6 0 1.3423 -1.1109 0.7703 1.2367 -2.1621 0.6364 200 150 200 613.397 615.607 625.825 23 0.1 0.9648 -0.0956 0.9355 "missing"
"518" 4000021 0 1 0 6 0 -1.2792 2.7249 -0.7823 1.4334 0.0838 1.0346 150 150 100 520.899 566.466 572.773 23 0.1 0.9648 -0.0956 0.9355 "missing"
"519" 4000021 0 1 0 5 0 -1.8939 0.9683 -0.7823 0.6198 -0.1206 1.0346 150 150 100 499.389 541.754 514.361 23 0.1 0.9648 -0.0956 0.9355 "missing"
"520" 4000021 1 1 0 6 0 -1.2792 0.5166 -0.7823 1.2488 -0.1605 1.0346 200 150 200 664.221 554.538 547.261 23 0.1 0.9648 -0.0956 0.9355 "missing"
"522" 4000021 1 1 0 6 0 -1.4869 2.7249 -0.7823 1.3021 1.314 1.0346 200 150 200 660.95 600.101 631.077 23 0.1 0.9648 -0.0956 0.9355 "missing"
"523" 4000021 0 1 0 6 0 0.052 0.6818 -0.7823 1.2221 0.2485 1.0346 150 150 150 553.735 679.069 613.488 23 0.1 0.9648 -0.0956 0.9355 "missing"
"524" 4000021 0 1 0 4 0 -1.059 1.4326 -0.7823 -0.2451 -0.7769 0.2127 150 150 300 668.853 679.198 605.263 23 0.1 0.9648 -0.0956 0.9355 "missing"
"525" 4000021 0 1 0 5 0 -0.687 2.7249 -0.7823 0.0983 0.4522 1.0346 150 150 300 655.372 608.195 645.967 23 0.1 0.9648 -0.0956 0.9355 "missing"
"527" 4000021 0 2 2 5 0 -1.4869 0.1634 -0.7823 -0.3224 -1.8358 1.0346 150 150 100 505.995 578.011 503.561 23 0.1 0.9648 -0.0956 0.9355 "missing"
"528" 4000021 0 1 0 6 0 -0.7592 0.3441 -0.7823 0.4946 -0.8905 1.0346 180 180 120 515.924 559.977 492.091 23 0.1 0.9648 -0.0956 0.9355 "missing"
"529" 4000021 0 1 0 5 0 -1.8939 0.9517 -0.7823 -0.6192 -0.4289 1.0346 150 150 200 575.62 572.678 576.272 23 0.1 0.9648 -0.0956 0.9355 "missing"
"530" 4000021 1 1 0 5 0 -0.4939 2.7249 -0.7823 1.3674 -2.7106 1.0346 150 150 500 507.879 535.686 525.517 23 0.1 0.9648 -0.0956 0.9355 "missing"
"533" 4000021 0 1 0 5 0 0.052 0.6818 0.2907 0.3457 -0.2023 1.0346 150 150 50 631.585 667.864 622.859 23 0.1 0.9648 -0.0956 0.9355 "missing"
"534" 4000021 1 1 0 6 0 -1.1858 0.472 1.1928 1.1636 -1.1481 0.3622 200 150 300 554.212 553.243 608.104 23 0.1 0.9648 -0.0956 0.9355 "missing"
"537" 4000021 0 3 2 5 1 0.4637 0.6738 0.1462 -0.7838 0.039 -1.3914 150 200 450 430.363 427.235 450.787 23 0.1 0.9648 -0.0956 0.9355 "missing"
"540" 4000021 0 1 0 6 0 -0.9823 0.8801 0.1462 1.8793 0.2148 1.0346 150 150 300 610.415 549.865 596.749 23 0.1 0.9648 -0.0956 0.9355 "missing"
"542" 4000021 0 1 0 4 0 -1.8939 2.7249 -0.7823 0.4235 0.7628 1.0346 200 150 300 521.055 533.199 569.406 23 0.1 0.9648 -0.0956 0.9355 "missing"
"543" 4000021 1 1 0 5 0 -1.8939 0.9303 0.8615 0.4045 -1.7418 0.0224 150 150 300 589.12 519.29 584.593 23 0.1 0.9648 -0.0956 0.9355 "missing"
"545" 4000021 0 1 0 6 0 1.8905 -0.9326 -0.7823 1.1692 1.314 0.3586 200 150 200 534.205 555.899 626.587 23 0.1 0.9648 -0.0956 0.9355 "missing"
"550" 4000023 1 1 0 3 0 1.8905 0.6246 0.8615 -0.6455 1.314 1.0346 200 150 150 546.384 573.989 620.597 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"551" 4000023 1 1 0 5 0 0.4637 -1.186 -0.7823 -0.7774 -0.5197 1.0346 150 100 100 505.882 516.004 552.047 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"552" 4000023 1 1 0 5 0 -0.4342 0.1634 -0.7823 -0.2475 -0.5488 1.0346 200 150 150 666.07 625.312 627.863 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"554" 4000023 0 1 0 6 0 0.1097 2.7249 -0.7823 1.1592 -1.3345 1.0346 150 150 150 571.238 567.493 556.784 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"555" 4000023 1 1 2 6 0 0.3335 -0.9911 2.1088 -0.0072 1.314 -1.5824 2400 2400 2400 534.462 487.339 528.007 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"556" 4000023 1 1 0 4 0 -0.687 1.4326 1.203 0.3168 1.314 -1.5847 150 150 150 577.537 445.964 521.286 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"557" 4000023 1 1 0 4 0 -1.8939 0.0682 1.1625 -0.6872 -1.5447 0.2127 150 150 100 608.108 536.375 614.717 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"558" 4000023 1 1 0 5 0 -0.9823 0.3018 0.2907 -0.6447 -0.2023 0.5029 150 100 150 684.327 646.58 697.89 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"559" 4000023 1 1 0 3 0 0.4637 0.6818 -0.7823 -0.0924 0.0483 1.0346 150 150 550 516.925 505.933 526.062 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"560" 4000023 1 1 0 6 0 -0.7592 2.7249 -0.7823 0.6432 -0.4707 0.6364 150 100 150 582.968 479.643 554.778 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"561" 4000023 1 1 0 4 0 -1.8939 1.4903 -0.7823 -0.076 1.314 -0.6576 200 150 150 546.869 527.738 529.118 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"562" 4000023 1 1 0 3 0 -0.2006 -0.7362 -0.7823 -0.0895 0.0483 1.0346 200 100 200 586.572 535.685 539.84 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"564" 4000023 1 1 0 5 0 -0.2718 -0.1954 0.2907 0.7617 -2.0248 1.0346 200 100 250 599.649 640.789 629.681 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"565" 4000023 1 1 0 6 0 -0.4342 2.7249 0.2907 0.2568 1.314 0.3586 165 110 385 657.716 658.074 625.925 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"566" 4000023 1 1 0 6 0 -1.8939 0.0348 -0.7823 1.3394 -0.9734 -0.6576 200 150 150 631.234 567.799 592.106 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"568" 4000023 0 1 0 6 0 1.8905 0.0672 0.8615 0.349 -0.013 1.0346 150 100 700 650.301 714.051 742.623 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"570" 4000023 1 1 0 3 0 0.1097 0.6818 0.2907 -1.0314 -0.5088 -1.3914 150 150 150 541.062 463.724 525.133 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"571" 4000023 1 1 0 5 0 0.052 -0.0939 1.1625 -0.0438 -0.5973 -0.6576 200 150 150 614.379 601.648 590.141 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"572" 4000023 1 1 0 3 0 -0.1748 -0.0647 1.2618 -0.0081 0.7628 1.0346 150 100 500 579.048 556.919 532.064 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"573" 4000023 1 3 2 5 0 0.4637 -0.082 0.2907 -0.5981 -0.7857 1.0346 150 150 1500 523.436 372.955 363.362 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"575" 4000023 1 1 0 4 0 0.8794 2.7249 0.2907 0.3384 -1.1481 0.6402 150 150 100 595.883 591.531 601.948 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"576" 4000023 1 1 0 4 0 -0.4342 0.4829 0.8615 -0.2647 -0.2023 1.0346 150 100 100 658.617 561.963 650.955 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"578" 4000023 0 1 0 6 0 0.4637 -1.186 1.1211 0.4008 -0.2023 -0.6576 150 100 150 635.818 580.163 630.144 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"579" 4000023 1 1 0 5 0 -0.2459 2.7249 0.2907 1.0064 -0.2023 -1.5824 150 100 200 693.673 498.453 567.325 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"580" 4000023 1 1 0 6 0 -0.9823 0.9423 -0.7823 0.444 0.2148 0.6364 150 100 100 644.846 559.291 583.199 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"582" 4000023 0 1 0 5 0 -1.2319 0.0348 -0.7823 -0.2346 -0.7074 0.3622 150 100 100 549.025 531.293 579.737 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"583" 4000023 1 1 0 6 0 -0.687 1.4685 -0.7823 0.8201 -0.2023 -0.6576 220 165 165 629.793 535.569 589.421 23 0.1031 -0.6465 -0.0956 0.0913 "missing"
"584" 4000024 1 1 0 4 1 -0.687 -0.0649 -0.7823 -0.5573 0.3485 1.0346 200 200 150 459.683 381.718 443.035 23 -0.2805 0.1562 0.2498 -0.0452 "missing"
"590" 4000025 1 1 0 6 0 -1.8939 -0.9855 0.8615 1.6175 0.0838 1.0346 200 150 400 693.903 583.604 610.441 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"592" 4000025 1 1 0 5 0 -1.8939 1.4326 0.2907 0.4735 0.039 1.0346 200 150 400 662.891 618.771 660.931 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"593" 4000025 0 1 0 6 0 -0.687 0.6818 -0.7823 1.6327 -0.2023 -0.6576 200 150 100 577.978 577.599 562.382 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"595" 4000025 0 1 0 3 0 -1.8939 0.6818 0.2907 -0.3222 -1.1481 -0.6576 200 150 100 457.536 453.849 450.356 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"596" 4000025 0 3 3 4 0 1.1422 0.6818 -0.7823 -1.0551 1.314 1.0346 200 150 300 554.222 618.01 566.465 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"597" 4000025 1 3 3 4 0 -1.8939 2.7249 0.2907 -0.1948 -0.6262 0.6364 200 150 300 344.901 318.233 346.874 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"598" 4000025 0 2 3 6 1 -0.9823 2.7249 -0.7823 0.442 -0.0991 1.0346 200 150 300 554.764 519.402 519.075 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"599" 4000025 1 3 0 2 0 -1.4869 2.7249 0.2907 -0.2833 -0.3172 1.0346 200 150 200 553.681 587.682 592.962 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"600" 4000025 0 1 0 6 0 0.8207 0.6818 -0.7823 1.1915 -0.6661 1.0346 200 150 1550 665.559 618.616 588.206 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"601" 4000025 0 3 3 6 0 0.4637 0.4458 -0.7823 0.5521 0.0079 0.3622 220 165 330 560.663 462.923 492.604 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"602" 4000025 1 1 0 5 0 -1.8939 2.7249 -0.7823 0.0342 -1.7803 -1.8649 200 50 700 665.699 621.801 637.296 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"603" 4000025 0 1 0 6 0 0.4637 -0.4509 -0.7823 1.7181 -1.5447 0.6402 200 150 400 655.614 668.868 657.586 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"604" 4000025 0 3 3 4 0 -0.4342 0.6818 0.2907 -0.2313 -0.7769 1.0346 200 150 100 616.595 604.884 594.594 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"605" 4000025 1 1 0 2 0 -1.8939 0.9423 -0.7823 -0.7177 -2.1621 0.3586 200 150 100 655.765 702.808 694.958 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"608" 4000025 0 1 0 5 0 1.3423 -0.1858 0.2907 0.7246 -0.2023 -0.6576 200 150 450 619.977 626.199 593.808 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"609" 4000025 0 1 0 4 1 -1.1858 0.9423 -0.7823 -0.9317 -1.3921 1.0346 200 200 300 564.607 549.472 511.071 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"610" 4000025 0 1 0 4 0 -0.7985 2.7249 0.2308 0.1692 -2.1621 1.0346 150 150 400 552.707 541.011 540.342 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"611" 4000025 1 1 0 3 0 -1.4242 1.4326 0.2907 -1.0185 -0.8998 -0.6576 200 150 400 562.929 526.84 603.144 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"612" 4000025 0 1 0 6 0 0.855 -1.3251 2.4122 0.6406 -2.7106 0.5029 200 150 300 495.378 534.978 538.299 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"613" 4000025 1 2 0 5 1 0.4637 -1.8611 2.4242 -0.1711 0.0079 -1.2947 200 200 300 534.377 465.009 475.792 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"614" 4000025 0 1 0 4 0 -0.3799 -1.0499 0.2907 -0.0671 -1.7803 -1.1847 200 150 300 501.383 501.803 467.23 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"615" 4000025 1 3 3 5 0 -0.3799 0.6713 0.8615 -0.7491 -0.7968 1.0346 250 250 300 619.006 542.876 569.271 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"616" 4000025 0 2 3 5 1 -0.2459 -1.186 0.1462 -0.1763 -0.3673 -0.6576 200 200 100 423.873 424.11 437.216 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"617" 4000025 0 1 0 6 0 0.052 0.0928 0.2907 0.7898 0.2048 0.6402 200 150 300 596.899 621.831 632.448 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"618" 4000025 1 1 0 6 0 -0.2006 -0.4509 0.7703 1.313 -1.5447 -0.6576 200 150 200 593.006 589.547 633.96 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"619" 4000025 1 1 0 4 0 -1.1597 0.4951 0.1462 0.3739 -2.7106 0.2169 200 150 400 638.454 545.071 597.818 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"620" 4000025 0 1 0 6 0 -0.1748 0.9264 0.2907 1.8184 -2.7106 1.0346 200 150 100 597.622 571.388 578.084 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"621" 4000025 0 1 0 6 0 1.8905 0.4766 0.2907 -0.0859 0.039 1.0346 200 150 450 564.154 571.248 584.715 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"622" 4000025 1 1 0 3 0 -0.3009 1.4903 0.2907 -0.7383 1.314 -0.6439 200 150 200 570.609 663.592 630.543 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"623" 4000025 1 1 0 6 0 -0.9823 0.2968 -0.7823 0.874 1.314 1.0346 200 150 100 654.586 601.231 614.98 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"624" 4000025 0 1 0 6 0 -1.4869 2.7249 -0.7823 1.198 0.4522 1.0346 200 150 300 512.194 590.509 550.292 23 0.8339 -0.2792 -0.4515 0.83 "missing"
"630" 4000027 0 1 0 6 0 0.052 0.4458 -0.7823 1.5074 -0.4377 0.6402 100 100 100 637.71 595.121 591.594 28 0.6635 -0.3808 -0.0871 0.2397 "missing"
"634" 4000027 0 1 0 6 0 -0.2459 -0.831 -0.7823 1.125 0.4522 0.5029 150 150 50 588.134 555.782 502.403 28 0.6635 -0.3808 -0.0871 0.2397 "missing"
"635" 4000027 0 1 0 5 0 0.9606 0.3299 0.2907 0.1507 0.1694 0.5029 100 150 50 595.027 584.798 519.373 28 0.6635 -0.3808 -0.0871 0.2397 "missing"
"639" 4000027 0 1 0 6 0 -0.1558 2.7249 -0.7823 1.116 -1.3583 1.0346 150 100 0 452.717 490.602 438.138 28 0.6635 -0.3808 -0.0871 0.2397 "missing"
"643" 4000027 0 1 0 6 0 1.1422 -1.186 2.0327 0.7117 -0.7366 0.6364 100 100 0 451.803 440.065 472.505 28 0.6635 -0.3808 -0.0871 0.2397 "missing"
"647" 4000027 1 1 0 6 0 -0.687 -0.4458 0.1462 0.6141 0.4522 1.0346 110 110 0 564.519 561.397 577.586 28 0.6635 -0.3808 -0.0871 0.2397 "missing"
"660" 4000028 0 1 0 3 0 0.052 2.7249 -0.7823 -0.1288 0.2485 1.0346 100 150 100 517.035 522.021 528.069 23 -0.6884 1.4731 0.2268 -0.0322 "missing"
"661" 4000028 0 1 0 6 0 1.8905 0.3241 -0.7823 1.0305 -2.0248 1.0346 100 100 250 515.637 554.414 482.375 23 -0.6884 1.4731 0.2268 -0.0322 "missing"
"662" 4000028 0 1 0 4 0 0.8207 -0.4415 0.2907 -0.0128 -1.8358 -1.0691 100 150 100 566.219 553.047 535.17 23 -0.6884 1.4731 0.2268 -0.0322 "missing"
"663" 4000028 0 1 0 5 0 1.8905 -1.0394 0.2907 0.9326 -0.8905 -1.1847 100 150 100 610.382 612.14 586.594 23 -0.6884 1.4731 0.2268 -0.0322 "missing"
"665" 4000028 0 1 0 4 0 -0.687 0.9303 -0.7823 0.6239 -1.1408 1.0346 100 150 100 559.283 499.295 496.061 23 -0.6884 1.4731 0.2268 -0.0322 "missing"
"666" 4000028 0 1 3 4 0 -0.687 0.0544 -0.7823 -1.4917 -2.0248 -1.3939 100 100 250 514.126 525.387 566.873 23 -0.6884 1.4731 0.2268 -0.0322 "missing"
"667" 4000028 0 1 0 5 1 -0.4342 -1.0654 1.7669 0.0564 -0.3584 1.0346 150 150 100 586.128 623.771 593.317 23 -0.6884 1.4731 0.2268 -0.0322 "missing"
"669" 4000028 0 2 3 6 0 -1.1597 0.6818 0.8233 -0.2854 -0.7366 1.0346 100 150 100 495.654 502.288 518.524 23 -0.6884 1.4731 0.2268 -0.0322 "missing"
"670" 4000028 0 1 0 3 0 -1.8939 -1.3963 -0.7823 -0.0386 0.2485 0.6402 100 150 100 534.402 448.986 415.465 23 -0.6884 1.4731 0.2268 -0.0322 "missing"
"671" 4000028 0 1 0 3 0 1.8905 -0.8164 0.7703 -0.8507 -1.8782 -0.6576 100 100 250 599.223 631.959 579.777 23 -0.6884 1.4731 0.2268 -0.0322 "missing"
"672" 4000028 0 2 2 5 0 1.3423 0.6818 -0.7823 0.0209 -1.8358 1.0346 100 150 100 489.771 487.816 509.29 23 -0.6884 1.4731 0.2268 -0.0322 "missing"
"673" 4000028 0 1 0 3 0 0.8794 0.6818 -0.7823 0.5486 0.2485 1.0346 100 150 100 627.233 662.662 619.84 23 -0.6884 1.4731 0.2268 -0.0322 "missing"
"674" 4000028 0 1 0 6 0 -1.4869 2.7249 -0.7823 2.134 0.7628 0.3622 100 100 100 562.397 546.078 586.737 23 -0.6884 1.4731 0.2268 -0.0322 "missing"
"675" 4000028 0 1 0 4 0 0.1097 0.9517 -0.7823 -0.1056 -0.2419 0.6364 100 150 150 436.064 428.418 361.922 23 -0.6884 1.4731 0.2268 -0.0322 "missing"
"676" 4000028 0 1 0 3 0 0.4637 -0.3184 -0.7823 0.0315 -0.7366 0.6402 100 100 150 485.299 431.236 425.076 23 -0.6884 1.4731 0.2268 -0.0322 "missing"
"678" 4000028 0 1 0 6 0 -1.4869 -1.5501 -0.7823 0.6632 1.314 1.0346 100 100 150 606.194 559.688 486.306 23 -0.6884 1.4731 0.2268 -0.0322 "missing"
"679" 4000028 0 1 0 5 0 -0.687 -0.3102 0.7703 0.2903 -1.1481 -0.6576 100 100 250 559.825 539.726 532.407 23 -0.6884 1.4731 0.2268 -0.0322 "missing"
"681" 4000028 0 1 0 6 0 -0.1748 2.7249 -0.7823 0.1203 -1.8358 0.6364 100 100 150 637.775 564.593 564.811 23 -0.6884 1.4731 0.2268 -0.0322 "missing"
